# base + TSP 微调 配对逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,full,coverage,supplement,on_way,queue_clear,homing,queue_homing,on_way_homing,recovery
base(δ=300),49,10,4118.9,15795,153,145,10,0,1,1916.5,0.0,398.6,1803.8,0.0,0.0,0.0,0.0
base(δ=300),50,10,4158.9,15815,159,151,10,0,1,2249.7,99.3,0.0,1810.0,0.0,0.0,0.0,0.0
base(δ=300),51,13,4247.5,16667,143,134,13,0,1,1952.6,268.6,269.4,1756.9,0.0,0.0,0.0,0.0
base(δ=300),52,10,3904.3,14831,149,140,11,1,1,1910.8,0.0,400.7,1579.7,0.0,13.0,0.0,0.0
base(δ=300),53,15,4008.8,15539,138,130,17,2,1,1841.6,0.0,402.8,1736.4,0.0,28.0,0.0,0.0
base(δ=300),54,15,4137.2,16311,134,127,16,1,1,1875.4,0.0,286.9,1961.9,0.0,13.0,0.0,0.0
base(δ=300),55,13,3922.8,15009,144,136,13,0,1,1918.6,0.0,373.1,1631.1,0.0,0.0,0.0,0.0
base(δ=300),56,15,3723.6,14378,130,123,15,0,1,1664.9,0.0,489.8,1569.0,0.0,0.0,0.0,0.0
base(δ=300),57,14,4083.7,15764,144,135,16,2,1,1763.2,0.0,466.0,1826.4,0.0,28.0,0.0,0.0
base(δ=300),58,15,4331.0,17045,142,134,16,1,1,1619.7,0.0,687.1,2010.2,0.0,0.0,14.0,0.0
base(δ=300),59,12,3944.5,15092,145,138,13,1,1,1563.3,0.0,730.1,1637.2,0.0,0.0,14.0,0.0
base(δ=300),60,16,4374.9,17425,135,129,18,2,1,1802.9,264.9,454.6,1828.4,0.0,0.0,24.1,0.0
base(δ=300),61,13,3783.7,14199,146,137,17,4,1,1775.3,0.0,519.9,1432.5,0.0,56.0,0.0,0.0
base(δ=300),62,16,4215.8,16574,137,130,18,2,1,1796.5,0.0,429.8,1961.4,0.0,0.0,28.0,0.0
base(δ=300),63,16,4693.3,19226,129,120,17,1,1,1621.0,395.5,523.6,2139.2,0.0,14.0,0.0,0.0
base(δ=300),64,14,3504.8,13159,135,128,14,0,1,1730.5,0.0,509.4,1264.9,0.0,0.0,0.0,0.0
base(δ=300),65,16,3705.9,14459,123,116,17,1,1,1570.1,0.0,635.4,1486.4,0.0,0.0,14.0,0.0
base(δ=300),66,14,4465.5,17577,147,139,16,2,1,1910.3,338.3,330.1,1859.7,0.0,14.0,13.0,0.0
base(δ=300),67,10,3737.6,13793,155,148,12,2,1,2048.6,0.0,267.6,1393.3,0.0,14.0,14.0,0.0
base(δ=300),68,13,3705.8,14224,134,126,13,0,1,1808.3,0.0,369.7,1527.8,0.0,0.0,0.0,0.0
base(δ=300),69,13,3955.1,15346,138,131,13,0,1,1763.8,485.0,562.7,1143.5,0.0,0.0,0.0,0.0
base(δ=300),70,13,3644.6,13443,150,141,13,0,1,1804.8,0.0,548.4,1291.4,0.0,0.0,0.0,0.0
base(δ=300),71,11,3952.9,14804,155,147,16,5,1,1928.9,0.0,345.5,1608.4,0.0,28.0,42.0,0.0
base(δ=300),72,13,4383.0,17410,140,133,14,1,1,1999.5,315.8,219.0,1834.6,0.0,14.0,0.0,0.0
base(δ=300),73,15,4223.5,16547,141,134,15,0,1,1941.8,0.0,320.1,1961.6,0.0,0.0,0.0,0.0
base(δ=300),74,13,3844.1,14445,149,142,14,1,1,2047.2,0.0,150.9,1631.9,0.0,14.0,0.0,0.0
base(δ=300),75,13,4098.8,15774,148,139,13,0,1,1982.7,0.0,289.3,1826.8,0.0,0.0,0.0,0.0
base(δ=300),76,10,3882.7,14528,155,149,11,1,1,2127.0,0.0,159.7,1582.0,0.0,0.0,14.0,0.0
base(δ=300),77,12,4311.2,16781,149,141,15,3,1,1858.1,0.0,460.6,1951.5,0.0,28.0,13.0,0.0
