# 逐案: 当前解与下界(离线全知)
k,n_src,T,L,meas,switch,clear,fail,src_tsp,L_lb,meas_lb,T_lb
95,15,4189.9,14939,189,179,16,1,7770,5723,60,1519.7
96,14,4724.0,17515,193,183,15,1,9593,7627,64,1915.4
97,13,4303.6,15603,188,178,13,0,8752,6309,68,1666.9
98,15,4865.2,18481,184,174,15,0,11444,8917,60,2158.5
99,14,4766.5,17683,194,184,16,2,10677,8943,64,2178.5
100,15,4663.8,17414,186,176,15,0,9977,7640,60,1902.9
101,15,4919.8,18634,188,178,15,0,11502,8139,60,2002.7
102,13,4353.1,16241,175,165,13,0,8956,7113,68,1827.5
103,15,4849.4,18232,189,180,16,1,11212,8907,60,2156.5
104,16,4166.6,14928,185,176,16,0,7943,6178,56,1595.7
105,11,4379.6,15958,190,180,12,1,8768,6956,76,1826.2
106,16,4671.8,17549,182,172,16,0,10415,8091,56,1978.2
107,15,4740.9,17664,190,180,16,1,10599,8211,60,2017.2
108,14,4966.7,19133,180,170,14,0,10184,7714,64,1932.8
109,14,4372.0,16245,177,168,14,0,9524,8277,64,2045.4
110,11,4488.4,16457,192,182,11,0,9585,8370,76,2109.0
111,15,4359.4,16382,169,160,16,1,9699,7880,60,1950.9
112,14,4518.0,16740,185,175,14,0,10329,8528,64,2095.6
113,14,4847.8,18359,186,176,14,0,10688,9008,64,2191.7
114,10,3714.3,12672,190,180,10,0,7530,5027,80,1455.3
115,15,4342.4,15972,180,170,16,1,9059,7202,60,1815.4
116,16,4775.1,17745,192,183,17,1,11028,8316,56,2023.1
117,11,4419.3,16232,188,178,11,0,8650,6753,76,1785.7
118,11,3988.3,13946,191,183,13,2,7300,5957,76,1626.4
119,15,4569.7,16924,186,177,16,1,9501,6859,60,1746.8
120,16,4720.8,17529,190,182,17,1,9724,7940,56,1948.0
121,13,4317.9,15609,190,181,13,0,8869,7096,68,1824.3
122,10,4354.9,16054,184,174,10,0,9086,6235,80,1697.1
123,13,3942.0,14065,179,169,13,0,7834,6340,68,1673.0
124,16,5346.1,20410,198,188,18,2,11045,9092,56,2178.4
125,14,4253.7,15629,178,168,14,0,10430,7490,64,1887.9
126,10,4339.0,15495,200,190,10,0,8243,6373,80,1724.6
127,10,4454.1,16055,200,190,11,1,9173,7071,80,1864.2
128,13,4403.9,16254,183,173,13,0,9464,7636,68,1932.3
129,14,4222.5,15262,185,175,14,0,9763,8257,64,2041.4
130,14,4434.0,16315,185,176,14,0,11550,8336,64,2057.1
131,12,4983.7,18793,195,187,13,1,8848,6594,72,1738.9
132,15,3931.1,14045,176,167,15,0,8906,7001,60,1775.3
133,12,4374.7,15634,198,189,15,3,8435,6720,72,1764.1
134,10,4048.8,14149,196,186,11,1,7774,6059,80,1661.8
135,16,5144.8,19709,188,180,17,1,10354,8296,56,2019.2
136,11,4297.9,15744,184,174,11,0,8809,6502,76,1735.5
137,15,4622.5,17263,184,175,15,0,9760,8469,60,2068.7
138,11,4283.0,15660,184,173,12,1,8873,7637,76,1962.3
139,13,4361.4,16112,180,171,14,1,8342,6868,68,1778.6
140,11,3786.9,13425,175,166,13,2,8513,7185,76,1871.9
141,14,4074.2,14816,175,166,14,0,9376,7073,64,1804.5
142,11,3777.6,13263,180,170,11,0,7817,5504,76,1535.8
143,13,4265.0,15395,188,178,14,1,9499,7415,68,1887.9
144,16,5132.5,19668,188,179,16,0,10357,8582,56,2076.4
145,10,4462.4,16352,192,182,10,0,8053,6207,80,1691.5
146,15,4529.7,16888,181,172,15,0,10662,7969,60,1968.7
147,11,3726.1,13136,175,166,12,1,7135,6219,76,1678.9
148,10,3780.2,13421,176,166,10,0,8533,7414,80,1932.9
149,14,5085.5,19503,187,177,15,1,10979,8160,64,2022.0
150,15,4623.2,17186,186,178,16,1,8650,7393,60,1853.7
151,16,4627.7,17414,178,169,18,2,10430,7629,56,1885.8
152,16,4315.3,16216,167,157,16,0,8919,6918,56,1743.7
