# n=8 半径扫描: 逐案
arm,r,margin_m,k,n_src,T,dist,meas,fail,full
当前候选 n=9 r=1150,1150.0,180.1,10,14,4211.7,15543,173,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4889.7,18769,177,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4529.7,16859,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4454.1,16286,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4504.8,16679,184,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4622.5,16937,197,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3802.4,13237,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4763.8,17844,187,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4552.2,16716,191,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4527.5,16477,197,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4302.5,15768,180,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4281.4,15342,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4672.0,17305,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4570.2,17411,174,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4122.3,15042,176,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3769.7,13129,184,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4593.9,17029,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3722.3,12952,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3991.8,14179,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,3983.0,14485,169,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3892.9,13774,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4570.8,17314,173,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4708.8,17449,190,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4794.7,17959,189,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4573.1,16686,198,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4388.1,15945,188,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4310.3,15787,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4745.9,18019,179,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4578.1,16936,188,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4487.9,16135,200,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4028.7,14189,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4685.4,17547,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4753.1,17760,189,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4544.9,16840,188,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3934.7,13774,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4368.4,15762,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4075.3,14427,190,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4582.3,16981,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4146.2,15116,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4276.7,15743,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4807.1,17955,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,3772.5,13303,177,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3701.9,12985,175,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4054.6,14318,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4378.1,15951,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4309.5,15793,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4462.2,16221,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4164.3,14822,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4243.9,15799,168,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4027.6,14328,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4403.6,16198,186,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3879.8,13829,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4484.0,16270,197,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3985.4,14162,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4043.1,14401,185,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4192.6,15373,179,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4305.2,15601,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3831.9,13529,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,5014.4,19292,182,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4505.1,16650,183,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4069.5,14493,187,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4952.8,18909,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4499.9,16365,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4642.2,17816,169,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4316.4,15827,180,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4570.9,16679,195,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4462.1,16475,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4001.3,14741,168,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4166.2,15196,177,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4581.8,16839,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3881.8,13704,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4368.6,16093,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4516.5,16942,175,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4789.3,17657,200,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,3869.1,14276,160,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4816.0,18415,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4181.1,15146,181,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3974.6,14078,184,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4307.7,15589,187,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4589.6,16773,194,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,5736.5,22513,194,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4110.4,14662,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4239.6,15518,180,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4314.8,15814,183,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4980.7,18628,197,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4864.2,18211,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4358.7,16103,178,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4081.4,14452,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4979.3,18781,191,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4591.4,17092,185,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4538.2,16666,192,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4339.2,15541,197,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4933.0,18540,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,5077.9,19259,191,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4443.3,16566,175,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4104.2,15201,165,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4703.3,18077,169,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4335.8,15754,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4309.2,15796,183,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3795.9,13090,189,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4326.5,16382,163,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4573.8,17074,181,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,3719.5,12942,179,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4553.4,17187,175,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3786.6,13408,175,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4516.9,17019,177,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4654.2,17366,188,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4541.5,16683,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4367.2,15876,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4098.3,14836,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4393.3,16226,179,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4790.5,17772,194,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3966.2,13956,189,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4042.9,14610,177,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3687.4,12692,184,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4509.0,16700,185,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4206.7,15164,189,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4392.7,15908,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4743.2,17586,197,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4590.5,17387,176,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4582.8,17184,180,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4202.5,15153,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4980.6,18843,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4379.4,16012,184,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4673.6,17278,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4054.4,14612,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4610.5,17438,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,3462.1,11521,184,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4400.2,16046,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4156.9,14884,190,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4095.0,14735,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4317.6,16363,164,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4088.9,14539,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4717.5,17463,195,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4308.6,15713,184,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3924.0,13780,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4559.8,17219,176,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4504.3,16662,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4716.1,17765,181,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4040.7,14999,164,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4482.2,16361,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4578.6,17453,170,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4373.9,15665,199,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,5112.0,19805,179,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4614.5,17238,183,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4252.2,15351,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4369.5,16573,164,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4068.5,14662,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4414.8,16089,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4377.1,15821,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4857.1,18216,191,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3890.7,13763,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3866.6,14048,167,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4641.4,17037,194,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3968.0,14180,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3912.4,13837,183,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4274.0,15600,181,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4181.4,14917,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4305.4,15572,189,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4359.2,15791,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4457.4,16267,192,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4237.5,15273,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4346.4,15957,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4329.9,15570,196,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4302.4,15487,190,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4753.4,17722,189,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3752.8,13039,182,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4088.9,14879,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4401.7,16073,190,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4174.8,15374,175,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4388.8,15934,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4097.7,15203,166,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4681.2,17391,188,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3946.2,14046,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4686.4,17327,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4568.1,16945,186,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3847.9,13495,184,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4302.1,15666,185,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4398.9,16155,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4275.1,15245,195,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4200.4,15282,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4596.4,17132,185,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,3935.4,14277,170,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4630.0,16900,200,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4921.9,18544,195,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4740.1,17705,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4061.2,14816,173,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4394.4,16137,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4064.4,14622,180,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3969.1,14666,165,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4516.1,16725,183,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4470.8,16624,179,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4557.1,16501,199,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4187.8,15524,173,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4590.1,16801,196,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4849.7,18413,183,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4831.7,18228,188,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4251.6,15673,176,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,5082.3,19332,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3774.6,13248,180,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4121.2,14711,189,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4275.2,15681,179,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,3858.5,13617,180,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4563.4,16797,190,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4248.0,15430,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3792.5,12902,194,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4169.1,15110,184,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4452.0,16410,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4426.3,16807,167,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,3964.5,14277,174,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4309.5,15447,195,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4734.8,17924,180,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3653.2,12576,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4319.8,15534,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4537.4,16787,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3984.3,14261,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3956.6,14293,175,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4630.5,17447,180,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4812.8,18399,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3989.3,14291,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4308.0,15820,181,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4239.0,15300,185,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4351.2,15831,189,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,3624.8,13244,151,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4134.6,14808,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4007.7,14129,189,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4557.5,16703,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,3928.2,13991,177,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4384.6,16218,178,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4982.2,19191,179,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4131.4,14567,195,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4304.6,16178,169,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4453.6,16813,169,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,5101.5,19458,195,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4421.7,16149,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4359.3,15841,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4161.3,14931,186,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4389.9,16015,188,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4552.5,17207,176,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4477.3,16697,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4654.2,17561,178,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3963.9,13905,190,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4059.7,14414,189,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3756.2,13316,174,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4019.7,14463,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4424.3,16162,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4006.2,14581,172,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4190.4,14987,190,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4873.8,18624,181,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4440.9,15995,197,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4633.6,17318,184,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4899.7,18473,188,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4743.1,17796,187,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4313.0,15450,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4471.7,16299,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4744.4,17592,196,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4403.3,16506,177,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4807.7,17793,196,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4347.3,15967,182,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3826.7,13633,176,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3912.4,13612,191,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4669.4,17402,186,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3948.2,13666,195,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3891.2,13796,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3913.2,13751,186,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4574.5,17238,176,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4341.7,15879,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4576.1,16701,196,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4417.5,16238,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3924.7,13943,182,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4715.3,17551,189,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4166.4,15252,176,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4624.2,17101,190,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4511.6,16733,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3885.0,13435,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4266.6,15663,176,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4044.3,14206,193,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4722.8,17909,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4024.9,14474,180,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,3912.3,14287,165,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4326.0,15700,191,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4828.5,18473,177,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4659.0,17465,182,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4687.4,17772,177,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4526.3,16571,193,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4304.2,16341,162,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4549.7,16643,196,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4593.8,17184,184,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4263.4,15307,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3721.3,12497,195,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4265.3,15706,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4733.4,18097,175,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4550.3,16702,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4748.3,17821,189,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4646.3,17081,193,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4389.6,16083,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4895.1,18686,182,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4394.6,15728,201,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4153.4,14872,189,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4664.3,17617,182,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4996.7,19028,185,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4584.5,16923,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,3929.0,13840,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4117.5,14748,186,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4658.1,17471,184,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4462.1,16681,177,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4316.8,15679,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4323.4,15607,190,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4469.5,16507,188,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4157.0,15170,178,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4870.2,18326,192,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4621.5,17007,194,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4466.2,16576,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4249.3,15572,182,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4123.3,15022,178,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4438.7,16023,199,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4501.8,16369,194,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3348.0,11140,179,2,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4428.1,16256,187,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4106.4,15077,172,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4217.4,15337,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4210.8,15269,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4256.2,15516,183,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,5416.1,20800,198,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4772.6,17888,191,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,4494.6,16673,185,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4097.6,14423,194,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4049.2,14036,199,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4723.1,17826,181,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,12,3610.1,12040,192,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,3669.9,12760,179,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4202.2,15191,186,3,1
当前候选 n=9 r=1150,1150.0,180.1,10,13,4699.6,17658,185,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4410.0,16145,186,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4521.9,17184,169,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,14,4337.4,16527,162,0,1
当前候选 n=9 r=1150,1150.0,180.1,10,11,4142.8,15009,182,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,16,4418.2,16261,182,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,15,4469.9,16689,177,1,1
当前候选 n=9 r=1150,1150.0,180.1,10,10,4004.1,14196,187,1,1
