# 问题三 权衡分析逐案明细(同一场景 + 固定误差场; need = 基础扫描后需补测频道数, 运行时可观测)
k,n_src,need_base6,T_base6,T_aux9,T_adopted,dT_adopted,dT_aux9,cov_base6,cov_adopted,sup_base6,sup_adopted,fired,resolved
255,11,0,3422.5,3422.5,4101.2,678.8,0.0,1580.6,2281.3,0.0,0.0,False,0
256,11,0,2900.5,2900.5,3501.4,600.9,0.0,1840.6,2341.4,0.0,0.0,False,0
257,14,4,4893.9,5459.2,4217.7,-676.2,565.3,1818.4,2207.5,1038.5,0.0,True,3
258,10,2,4059.8,5392.5,4431.1,371.2,1332.7,2049.3,2588.4,339.2,0.0,True,1
259,14,2,4435.4,5207.3,4215.0,-220.4,771.8,1656.7,1989.1,482.4,0.0,True,2
260,15,2,4792.9,5581.5,4726.8,-66.1,788.6,2093.7,2396.9,521.1,0.0,True,2
261,10,1,3947.9,5075.6,4180.3,232.4,1127.7,1996.9,2537.1,148.3,0.0,True,1
262,16,2,4684.4,5407.3,4397.5,-286.8,722.9,1502.4,1938.8,265.5,0.0,True,2
263,13,5,5157.2,5649.6,4703.6,-453.5,492.5,2151.1,2595.6,833.0,0.0,True,5
264,16,2,4823.1,5594.7,4673.7,-149.4,771.6,1861.0,2474.2,725.0,0.0,True,2
265,11,4,4419.0,5546.1,4347.5,-71.5,1127.1,2153.6,2489.7,566.3,0.0,True,2
266,10,1,4273.2,5167.0,4852.6,579.4,893.8,2032.0,2678.6,322.8,313.4,True,1
267,11,1,3884.9,5212.9,4199.8,314.9,1328.1,2025.9,2246.8,66.0,0.0,True,1
268,10,3,4279.2,4970.2,3909.4,-369.8,691.1,1880.2,2412.9,715.9,0.0,True,3
269,12,1,4016.9,5137.2,4165.9,149.1,1120.3,1499.6,2196.4,189.6,0.0,True,1
270,13,2,4796.9,6263.3,4247.6,-549.3,1466.3,1909.6,2481.2,535.1,0.0,True,0
271,12,1,3836.9,5068.6,4175.3,338.4,1231.7,1797.3,2146.6,66.0,0.0,True,1
272,14,3,5252.6,5766.2,4014.2,-1238.5,513.6,1752.4,2015.8,978.9,0.0,True,2
273,14,1,4253.2,5303.9,4356.7,103.5,1050.8,1432.3,2110.9,245.6,0.0,True,1
274,13,0,3909.7,3909.7,4222.8,313.1,0.0,1810.9,2357.0,0.0,0.0,False,0
275,14,4,5623.4,5973.6,4750.8,-872.6,350.2,2026.2,2391.3,911.1,92.0,True,3
276,11,2,4795.3,5508.9,5002.9,207.6,713.6,1820.2,2379.8,609.9,127.5,True,2
277,13,4,6319.0,5628.2,4692.3,-1626.6,-690.7,1892.6,2338.1,1097.2,85.5,True,4
278,13,3,4019.3,5111.8,3878.8,-140.5,1092.6,1987.2,2287.7,467.3,0.0,True,2
279,10,2,4284.3,5432.5,4037.5,-246.8,1148.2,1732.4,2335.3,603.4,0.0,True,1
280,13,3,4980.0,5685.5,4896.3,-83.8,705.4,2119.1,2411.7,822.2,360.2,True,2
281,15,2,4659.2,5996.1,4816.3,157.1,1336.9,1961.6,2116.1,455.5,370.6,True,1
282,15,3,5646.3,5694.0,4488.8,-1157.5,47.7,1784.9,2055.2,1033.8,0.0,True,2
283,10,1,3735.6,4738.8,3553.3,-182.2,1003.2,1924.0,2368.2,402.8,0.0,True,1
284,13,3,4888.5,6342.1,4407.0,-481.5,1453.5,1827.6,2260.2,544.3,0.0,True,1
285,16,3,4487.6,5781.8,4750.5,262.9,1294.2,1458.0,2188.9,582.2,416.4,True,1
286,15,5,5273.3,6288.7,4984.0,-289.2,1015.5,1845.7,2250.7,946.3,360.7,True,3
287,15,3,4780.2,5606.7,4963.2,183.0,826.5,1819.5,2304.8,405.5,222.1,True,3
288,10,1,3807.2,4980.0,4107.5,300.2,1172.7,1858.2,2387.7,186.1,0.0,True,1
289,16,3,5017.6,6044.3,5224.9,207.3,1026.6,2167.6,2388.4,633.4,443.9,True,3
290,15,3,5630.6,6619.0,5116.2,-514.4,988.4,2128.1,2659.7,520.3,0.0,True,2
291,12,1,4338.4,5513.6,4356.8,18.3,1175.2,1854.7,2239.7,183.0,0.0,True,1
292,13,1,4338.2,5470.3,4378.0,39.8,1132.1,1840.0,2377.7,160.6,0.0,True,1
293,12,1,4156.9,5033.9,3839.5,-317.5,877.0,1562.3,2357.7,391.7,0.0,True,1
294,12,2,4134.6,5328.7,3677.0,-457.6,1194.1,1797.1,2177.7,456.6,0.0,True,1
295,13,1,4404.1,5214.4,4435.7,31.7,810.3,1559.6,2318.9,448.8,0.0,True,1
296,11,1,4244.0,5452.7,3980.2,-263.8,1208.7,1751.4,2127.2,333.6,0.0,True,0
297,16,5,5938.2,6758.8,4765.0,-1173.2,820.6,1802.8,2313.2,1008.8,0.0,True,3
298,16,2,4554.8,5663.2,4321.3,-233.5,1108.4,1684.8,1925.8,349.6,0.0,True,1
299,13,1,4451.1,5751.2,4263.5,-187.7,1300.1,1881.2,2295.4,368.9,0.0,True,0
300,13,1,3703.5,5124.1,3988.8,285.3,1420.6,1758.7,2241.4,66.0,0.0,True,0
301,11,1,3497.2,4725.5,4149.9,652.6,1228.2,1857.2,2271.5,66.0,0.0,True,1
302,13,3,4481.1,5406.0,4459.9,-21.2,925.0,1727.0,2442.2,472.4,0.0,True,3
303,12,3,4303.2,5445.0,4200.2,-103.0,1141.8,1798.7,2179.3,562.6,0.0,True,2
304,15,5,5684.3,5968.1,4892.2,-792.1,283.8,2181.4,2678.6,934.4,0.0,True,5
305,10,1,4426.9,5186.1,4115.9,-311.1,759.2,1914.5,2309.8,433.9,0.0,True,1
306,10,3,4849.9,5231.9,4190.1,-659.8,382.0,2010.3,2387.4,683.7,130.2,True,3
307,13,4,5753.2,5804.6,4811.9,-941.2,51.4,1833.2,2327.1,1053.6,0.0,True,3
308,11,3,4668.7,5133.2,4065.2,-603.5,464.4,1896.6,2199.4,712.9,319.5,True,2
309,12,3,5114.8,5849.9,4305.2,-809.6,735.1,1855.8,2383.0,773.6,0.0,True,2
310,16,2,4582.4,5518.8,4486.7,-95.7,936.3,1847.6,2102.3,393.2,0.0,True,2
311,10,0,3718.2,3718.2,4100.0,381.8,0.0,1618.8,2150.6,0.0,0.0,False,0
312,16,3,4503.7,5784.0,4495.6,-8.1,1280.3,1624.3,2417.7,510.3,0.0,True,0
313,14,3,5315.9,5359.7,5217.5,-98.4,43.8,1712.6,2280.8,956.1,461.1,True,3
314,12,1,3393.1,4659.5,3766.0,372.9,1266.4,1548.0,2224.3,174.0,0.0,True,1
315,11,0,3664.5,3664.5,3875.1,210.6,0.0,1672.3,2103.0,0.0,0.0,False,0
316,16,2,4499.7,5773.4,4394.9,-104.8,1273.7,1583.3,2170.5,188.3,0.0,True,1
317,11,1,4168.5,4997.2,4480.5,312.0,828.8,1720.7,2360.1,397.5,360.8,True,1
318,12,3,4700.7,5525.7,3995.0,-705.7,824.9,1922.2,2112.7,785.0,0.0,True,1
319,16,3,4246.6,5469.1,4280.2,33.7,1222.5,1698.1,2244.0,369.2,0.0,True,0
320,11,2,4857.7,5966.6,4716.8,-140.9,1108.9,1929.3,2405.4,616.6,0.0,True,1
321,12,3,4904.2,5541.3,4487.1,-417.1,637.1,1786.1,2366.8,481.9,0.0,True,2
322,11,2,4117.2,5073.1,4088.3,-28.9,955.9,1767.5,2229.8,277.2,0.0,True,2
323,13,1,4400.6,5357.9,3967.4,-433.3,957.2,2097.8,2279.8,482.1,0.0,True,1
324,14,1,4208.0,5059.1,4079.5,-128.4,851.1,1671.3,2238.7,237.3,0.0,True,1
325,14,3,4077.1,5240.0,4295.4,218.3,1162.9,1555.5,2240.9,222.2,0.0,True,2
326,14,3,4884.6,5826.1,4973.4,88.7,941.5,2129.7,2399.8,920.2,219.9,True,2
327,10,1,3756.1,4892.3,4224.3,468.2,1136.3,1813.4,2465.5,232.2,0.0,True,1
328,15,2,5122.1,5794.1,4840.1,-282.0,671.9,1554.8,2274.4,693.6,0.0,True,2
329,10,2,4034.3,4889.5,3625.5,-408.8,855.2,1722.1,2313.4,330.0,0.0,True,1
330,12,5,5469.2,5348.6,4225.1,-1244.1,-120.6,1969.1,2437.8,905.4,0.0,True,4
331,16,3,5083.9,6002.5,4343.1,-740.8,918.6,1509.2,2007.9,795.7,0.0,True,2
332,13,5,5390.2,5537.8,4593.2,-797.0,147.5,1763.5,2114.3,1111.5,0.0,True,5
333,16,2,5128.0,5769.1,4861.0,-267.0,641.1,1727.1,2361.0,624.4,0.0,True,2
334,15,2,5080.6,6354.3,4925.4,-155.2,1273.7,1784.7,2141.9,503.3,0.0,True,1
335,14,1,4219.4,5216.9,4277.5,58.0,997.4,1925.3,2465.8,165.2,0.0,True,1
336,14,2,4250.9,5350.8,4291.3,40.4,1099.9,1865.0,2181.3,370.9,0.0,True,1
337,14,2,3766.8,5172.1,4222.2,455.4,1405.3,1760.4,2219.1,161.6,0.0,True,2
338,13,1,3941.1,5396.3,4243.1,302.0,1455.2,1841.9,2353.6,146.3,0.0,True,0
339,11,1,3700.1,4762.0,4015.4,315.3,1061.9,1521.1,2294.1,66.0,0.0,True,1
340,14,0,3741.5,3741.5,4150.7,409.2,0.0,1475.5,1934.2,0.0,0.0,False,0
341,12,0,3790.5,3790.5,4128.7,338.2,0.0,1850.2,2304.6,0.0,0.0,False,0
342,14,2,4394.8,5656.6,4360.0,-34.8,1261.7,2022.7,2459.0,375.7,0.0,True,1
343,13,1,4237.7,5087.1,4462.1,224.4,849.4,1660.4,2158.6,477.6,0.0,True,1
344,11,1,4281.3,4980.8,4214.4,-67.0,699.5,1597.9,2148.2,457.9,0.0,True,1
345,14,4,4985.1,5804.4,4598.9,-386.2,819.4,2113.3,2367.3,812.3,0.0,True,3
346,13,4,4622.6,5426.8,3814.6,-808.0,804.2,1825.0,2084.5,654.8,88.4,True,3
347,11,3,5075.3,5480.6,4049.2,-1026.0,405.4,1960.4,2469.4,740.9,0.0,True,2
348,13,0,3864.6,3864.6,4196.4,331.9,0.0,1905.2,2423.4,0.0,0.0,False,0
349,16,3,5364.3,5606.2,4896.1,-468.2,241.9,1948.7,2536.4,936.8,126.4,True,3
350,11,1,3923.8,4857.8,4284.6,360.8,934.0,1856.8,2275.9,322.7,313.0,True,1
351,12,0,3646.9,3646.9,4056.6,409.6,0.0,1756.5,2167.3,0.0,0.0,False,0
352,16,6,5675.5,6509.5,4833.2,-842.3,834.0,2044.6,2347.1,1123.0,0.0,True,4
353,11,0,4276.1,4276.1,4554.3,278.2,0.0,2191.9,2441.2,0.0,0.0,False,0
354,10,0,3471.8,3471.8,4005.0,533.2,0.0,1968.9,2426.2,0.0,0.0,False,0
355,11,2,4600.0,5656.9,4260.6,-339.4,1056.9,2009.1,2355.2,713.6,0.0,True,1
356,10,2,4015.9,5196.3,4483.2,467.2,1180.4,2169.6,2642.2,200.4,217.7,True,2
357,13,4,4275.0,5666.8,4497.3,222.3,1391.7,1889.9,2277.1,337.2,252.7,True,1
358,16,2,4589.4,5465.8,4584.0,-5.4,876.4,1580.0,2236.9,374.3,0.0,True,2
359,10,1,3917.1,4802.2,3872.8,-44.4,885.1,1712.4,2326.0,370.7,0.0,True,1
360,13,1,4288.4,5160.9,4288.1,-0.2,872.5,1825.4,2191.6,373.3,0.0,True,1
361,11,1,4403.0,5750.4,4768.0,365.0,1347.4,2175.7,2586.1,393.9,359.2,True,0
362,11,3,4649.3,4508.1,3666.3,-983.0,-141.1,1723.8,2215.1,684.9,0.0,True,3
363,16,5,5579.6,6197.6,4630.9,-948.7,618.0,1784.4,2400.8,865.8,0.0,True,4
364,14,2,4846.5,5354.9,4454.4,-392.1,508.4,1939.7,2472.3,428.6,0.0,True,2
365,11,2,4690.2,5196.5,4315.5,-374.7,506.3,1971.0,2534.6,327.0,0.0,True,2
366,15,2,4674.5,5178.8,4365.0,-309.5,504.3,1734.2,2148.7,413.9,99.3,True,2
367,10,1,4024.4,5375.1,4063.9,39.5,1350.7,1998.3,2473.6,334.6,0.0,True,0
368,13,4,4812.5,5409.8,4568.3,-244.3,597.3,1703.9,2206.4,933.9,449.9,True,3
369,15,3,4740.2,5773.3,4568.6,-171.6,1033.2,1826.7,2125.8,489.8,0.0,True,2
370,12,0,3966.4,3966.4,4285.8,319.4,0.0,1685.0,2438.0,0.0,0.0,False,0
371,15,2,4266.9,5572.1,4006.8,-260.1,1305.2,1849.6,2230.4,493.3,0.0,True,0
372,14,1,4269.4,5499.7,4550.1,280.8,1230.3,1898.1,2228.8,66.0,0.0,True,1
373,15,3,4601.2,5518.7,4677.0,75.8,917.5,2049.9,2616.5,411.0,0.0,True,2
374,12,2,4804.5,5960.2,4659.1,-145.4,1155.6,2197.8,2424.5,478.1,0.0,True,1
375,12,1,4275.9,5476.1,4514.9,239.0,1200.2,1981.4,2501.2,162.7,0.0,True,1
376,10,2,4984.1,5297.4,4554.9,-429.3,313.3,2076.3,2481.0,742.7,0.0,True,2
377,10,0,3626.5,3626.5,4328.3,701.8,0.0,2014.7,2365.0,0.0,123.7,False,0
378,11,4,4962.9,5311.4,4343.6,-619.3,348.5,2031.0,2555.7,981.9,0.0,True,4
379,15,4,5430.6,5901.0,4897.9,-532.7,470.4,2048.0,2572.8,896.6,0.0,True,3
380,11,1,4012.5,5235.4,4051.5,39.0,1222.9,1746.8,2244.3,378.7,0.0,True,0
381,12,2,4028.4,5469.0,4163.5,135.1,1440.6,1774.3,2192.6,169.9,0.0,True,0
382,10,3,4962.5,5128.4,4312.2,-650.3,165.9,2016.5,2298.4,587.3,0.0,True,3
383,15,3,4730.5,5482.2,4421.5,-308.9,751.7,1634.3,2131.0,721.4,0.0,True,2
384,10,0,3145.8,3145.8,3513.2,367.4,0.0,1708.3,2407.1,0.0,0.0,False,0
385,10,0,3746.9,3746.9,4034.4,287.5,0.0,2085.8,2445.8,0.0,0.0,False,0
386,13,3,5083.8,5615.5,4898.8,-185.1,531.7,1625.9,2192.5,579.9,0.0,True,3
387,16,7,5647.3,5674.3,4668.2,-979.1,27.0,2008.7,2411.1,1181.0,0.0,True,7
388,13,2,4633.0,5817.4,4684.0,51.0,1184.4,2046.9,2523.8,510.1,0.0,True,1
389,13,2,4702.7,5235.2,4378.9,-323.8,532.5,1728.9,2423.7,868.1,0.0,True,2
390,16,3,4950.6,6101.9,4835.9,-114.7,1151.3,1674.6,2207.6,621.2,0.0,True,2
391,14,4,5211.7,5999.3,4426.3,-785.4,787.6,2143.0,2504.8,789.3,0.0,True,2
392,14,3,5127.9,5887.2,4331.9,-796.0,759.3,1692.9,2223.2,1055.1,0.0,True,2
393,13,6,5542.9,5663.2,4746.6,-796.3,120.3,1821.2,2342.4,1050.3,0.0,True,5
394,15,2,4763.8,5634.5,4463.7,-300.1,870.7,1706.4,2181.5,647.0,0.0,True,1
395,14,3,4817.0,5990.2,4594.8,-222.2,1173.2,1730.6,2129.7,771.0,174.4,True,1
396,13,2,4818.6,6023.0,4353.6,-465.1,1204.4,2064.8,2536.6,285.4,0.0,True,0
397,11,1,3571.6,4988.8,3810.2,238.7,1417.2,1781.0,2368.1,197.2,0.0,True,1
398,10,3,5075.5,5170.1,4332.6,-742.9,94.5,1956.6,2530.6,863.3,93.9,True,3
399,13,3,5436.8,6382.7,4783.4,-653.4,945.8,1746.5,2262.4,1083.6,437.8,True,1
400,10,1,4118.2,5308.6,4222.9,104.6,1190.4,1790.5,2286.7,334.1,0.0,True,0
401,14,2,4433.5,5178.5,4837.2,403.6,745.0,1551.9,2056.0,404.0,187.1,True,2
402,15,3,4738.9,5793.7,4396.9,-342.0,1054.8,2071.7,2374.2,641.1,0.0,True,2
403,15,3,4657.5,5927.6,4794.1,136.6,1270.1,1467.5,2233.1,354.4,150.1,True,1
404,10,3,4932.2,5203.2,4352.8,-579.4,271.0,1824.8,2412.1,642.9,0.0,True,3
405,10,2,4252.9,5232.0,4380.9,128.0,979.0,1698.0,2393.6,479.0,0.0,True,2
406,16,3,5098.6,6303.9,4508.5,-590.0,1205.3,1799.0,2253.1,640.5,0.0,True,1
407,16,2,4156.1,5335.4,4013.7,-142.4,1179.4,1400.0,2105.8,584.4,0.0,True,1
408,11,1,3355.0,4528.0,3503.9,148.9,1173.0,1968.6,2295.1,194.2,0.0,True,1
409,12,2,4462.9,5277.9,4502.9,40.0,815.1,2040.8,2450.8,370.9,0.0,True,2
410,13,4,4377.9,5083.6,4146.3,-231.6,705.7,1387.5,2178.5,663.1,0.0,True,4
411,16,7,5725.0,6029.0,4888.3,-836.7,304.0,2037.0,2283.7,934.6,0.0,True,6
412,16,0,3691.6,3691.6,4416.8,725.2,0.0,1662.7,1861.8,0.0,187.9,False,0
413,14,2,4735.1,5638.2,4695.6,-39.5,903.1,1801.8,2542.5,530.8,0.0,True,2
414,10,0,3736.1,3736.1,4081.7,345.6,0.0,1688.6,2404.7,0.0,0.0,False,0
415,15,3,4756.9,6237.9,4604.5,-152.4,1481.0,1828.1,2401.9,716.7,0.0,True,2
416,13,4,4855.3,5722.8,4826.7,-28.6,867.5,2037.6,2515.7,793.0,366.8,True,3
417,14,3,5415.4,5247.4,4902.3,-513.2,-168.0,1572.3,1914.4,663.2,496.6,True,3
418,14,4,4740.4,5871.4,4472.9,-267.5,1131.0,2250.0,2540.7,656.3,0.0,True,3
419,11,1,3492.0,4634.3,3759.8,267.8,1142.3,1962.4,2335.3,146.1,0.0,True,1
420,14,4,4560.1,5630.7,4677.5,117.5,1070.6,1943.4,2420.1,488.9,359.8,True,2
421,12,3,4488.5,5255.0,4082.5,-406.0,766.4,1731.1,2112.8,465.9,0.0,True,2
422,11,0,3437.5,3437.5,3920.5,483.1,0.0,1928.4,2463.0,0.0,0.0,False,0
423,15,3,4874.7,5762.7,4823.4,-51.3,888.0,1799.0,2196.2,731.7,361.8,True,1
424,11,3,4662.8,5410.9,4283.2,-379.7,748.0,1915.6,2492.4,676.3,0.0,True,2
425,15,2,4571.3,5295.6,4401.2,-170.1,724.3,1853.4,2393.6,541.2,0.0,True,2
426,14,2,4517.5,5392.7,4267.6,-249.9,875.2,1757.7,1997.7,494.2,0.0,True,2
427,10,3,4819.4,5432.8,4155.6,-663.8,613.4,1735.3,2327.7,820.0,0.0,True,2
428,15,3,4924.1,5960.0,4444.6,-479.5,1035.9,1803.6,2259.1,724.7,0.0,True,2
429,14,4,5305.7,5853.3,4276.0,-1029.7,547.7,1701.8,2239.5,966.8,0.0,True,2
430,10,2,4088.7,5274.7,3957.6,-131.1,1186.0,1710.3,2200.9,502.1,0.0,True,1
431,11,0,3869.2,3869.2,4043.8,174.6,0.0,1703.9,2202.9,0.0,0.0,False,0
432,16,7,5512.3,6363.1,4683.3,-829.0,850.8,2139.4,2535.4,997.2,0.0,True,5
433,10,3,4245.2,5374.9,4043.7,-201.5,1129.7,2139.2,2537.4,625.4,0.0,True,2
434,16,3,4816.2,5925.5,4514.3,-301.9,1109.3,1562.9,2140.9,514.4,0.0,True,1
435,13,2,4558.2,5966.1,4596.1,37.9,1407.9,2088.3,2546.1,399.5,0.0,True,1
436,10,2,4336.9,5128.9,4249.9,-87.0,792.0,2010.8,2467.9,498.1,0.0,True,2
437,14,1,4352.9,5810.8,4533.8,180.9,1457.9,1941.6,2276.6,66.0,66.0,True,0
438,13,4,5543.7,5932.9,4533.7,-1010.1,389.1,2025.2,2302.6,985.0,0.0,True,3
439,14,5,4943.4,5819.3,4369.3,-574.1,875.9,1915.1,2172.3,782.4,0.0,True,4
440,16,4,6002.2,5654.7,4795.3,-1206.9,-347.5,1668.0,2072.3,1021.3,0.0,True,4
441,12,2,4849.3,5208.1,4320.8,-528.5,358.7,1494.7,2386.3,508.9,0.0,True,2
442,11,1,4387.9,5428.1,4505.0,117.0,1040.1,1908.5,2304.8,157.1,0.0,True,1
443,10,1,3642.5,5019.6,3834.0,191.5,1377.1,1873.1,2361.5,66.0,0.0,True,0
444,15,4,4937.8,6096.4,4484.5,-453.3,1158.5,1923.1,2547.6,455.1,0.0,True,3
445,16,1,4996.6,5723.2,4867.5,-129.1,726.6,2149.8,2544.6,474.5,0.0,True,1
446,13,3,4822.3,6005.3,4263.5,-558.8,1183.0,1877.9,2266.8,696.9,0.0,True,1
447,15,1,4281.0,5378.9,4322.5,41.5,1097.9,1703.9,2309.8,422.2,0.0,True,1
448,11,2,4367.9,4838.5,3817.6,-550.3,470.6,1714.1,2150.7,218.0,0.0,True,2
449,10,1,3897.7,5319.0,3679.9,-217.8,1421.3,1986.3,2453.4,66.0,0.0,True,0
450,12,5,4749.6,5260.3,4613.8,-135.7,510.8,2207.3,2455.0,843.7,282.9,True,5
451,11,0,3650.8,3650.8,3932.3,281.6,0.0,2064.8,2220.3,0.0,0.0,False,0
452,13,1,4105.3,5418.3,4009.7,-95.6,1313.0,1432.3,2140.6,378.7,0.0,True,0
453,10,1,3735.4,5079.4,3838.2,102.8,1344.0,1696.2,2237.0,233.0,0.0,True,0
454,16,0,4680.9,4680.9,4688.1,7.2,0.0,1787.5,2485.1,0.0,0.0,False,0
455,10,1,3926.0,4669.7,3609.3,-316.7,743.8,1680.8,2371.6,323.4,0.0,True,1
456,15,3,5538.1,6283.1,4863.3,-674.9,744.9,2273.0,2602.4,788.2,0.0,True,2
457,16,4,4883.5,5594.3,4793.1,-90.3,710.9,1843.8,2425.8,607.5,0.0,True,4
458,11,1,3814.5,4716.8,4508.6,694.1,902.4,1724.8,2248.5,395.8,454.2,True,1
459,13,2,4039.3,5428.2,4329.9,290.6,1388.9,2117.5,2416.1,262.0,195.6,True,1
460,13,2,4332.8,5278.0,4276.3,-56.5,945.2,2051.6,2333.5,434.5,0.0,True,2
461,12,2,4328.3,5528.8,4204.6,-123.7,1200.5,1751.1,2274.0,435.2,0.0,True,1
462,16,2,4805.4,5807.5,4644.0,-161.4,1002.1,1824.1,2313.4,817.8,0.0,True,1
463,12,2,3853.0,5127.1,3843.1,-10.0,1274.1,1816.7,2362.7,424.9,0.0,True,0
464,10,5,5056.1,5585.8,4342.3,-713.8,529.7,2052.7,2592.2,1009.3,0.0,True,4
465,12,2,4393.9,5302.3,4374.7,-19.2,908.5,2095.4,2516.2,510.1,0.0,True,2
466,12,1,3511.5,4680.8,3805.5,294.0,1169.3,1672.6,2143.6,176.3,0.0,True,1
467,11,5,4591.1,5119.8,4352.2,-238.9,528.7,2070.3,2405.5,702.2,0.0,True,5
468,16,4,5958.8,6277.6,4464.9,-1493.9,318.8,1800.6,2079.1,678.0,0.0,True,2
469,13,3,4981.4,6084.8,4616.8,-364.6,1103.4,1950.8,2343.0,650.7,0.0,True,2
470,14,3,5133.0,5961.2,4486.7,-646.3,828.2,1630.7,2092.0,757.6,0.0,True,2
471,16,3,4902.7,5855.2,4903.0,0.3,952.5,1798.1,2175.0,800.1,362.3,True,2
472,14,2,4300.8,5552.8,4380.7,79.9,1252.0,1588.4,2210.6,420.3,0.0,True,1
473,10,3,4284.6,5313.3,4096.7,-187.9,1028.7,2104.7,2590.7,591.2,0.0,True,1
474,16,4,5109.5,5724.1,4390.5,-719.0,614.6,2043.6,2405.4,972.5,0.0,True,3
475,10,3,4721.4,5644.6,4950.8,229.3,923.2,1848.7,2410.9,824.2,374.7,True,2
476,16,2,4525.6,5568.7,5472.4,946.8,1043.1,1720.8,2158.0,294.9,360.3,True,2
477,12,4,5038.3,5490.3,4011.8,-1026.6,451.9,1963.4,2204.1,672.7,0.0,True,2
478,11,2,4093.5,4960.1,4622.7,529.2,866.6,1923.5,2389.1,355.9,371.9,True,2
479,10,2,3768.7,4793.4,3913.6,145.0,1024.8,1871.9,2379.2,417.1,0.0,True,2
480,14,1,4217.2,5202.1,4217.4,0.2,984.9,1766.1,2190.1,330.7,0.0,True,1
481,11,1,3990.9,5295.3,4194.5,203.6,1304.4,2078.7,2362.5,156.6,0.0,True,0
482,14,2,5044.1,6084.5,4870.2,-173.9,1040.4,2060.7,2532.1,250.1,0.0,True,1
483,13,4,5517.1,6241.9,4904.0,-613.1,724.7,2003.5,2506.7,875.3,0.0,True,3
484,10,2,4154.1,5267.8,4149.5,-4.6,1113.8,1871.5,2417.7,422.3,0.0,True,1
485,16,6,6023.3,7040.1,5357.0,-666.2,1016.8,2051.0,2509.3,1117.3,307.5,True,4
486,16,2,4605.1,5307.5,4324.4,-280.8,702.3,1681.1,2222.5,679.7,0.0,True,2
487,13,1,4057.2,5501.5,4291.1,233.9,1444.2,1916.0,2385.7,150.1,0.0,True,0
488,15,3,4971.1,5654.9,4328.7,-642.5,683.8,1506.3,2369.5,901.8,0.0,True,2
489,15,7,5385.4,6132.6,5135.9,-249.5,747.2,2071.3,2351.9,1056.7,335.6,True,5
490,14,5,5629.5,6064.9,4854.6,-774.9,435.4,1916.5,2423.7,1123.1,0.0,True,4
491,11,2,4111.4,5319.9,4378.4,267.0,1208.5,1817.8,2250.8,414.5,0.0,True,1
492,14,4,5583.9,5556.8,4404.0,-1180.0,-27.1,2066.8,2384.1,1074.2,0.0,True,4
493,10,2,4157.3,5132.1,4120.7,-36.5,974.8,1588.3,2215.2,376.2,0.0,True,1
494,12,2,4201.1,5210.0,4200.0,-1.1,1008.9,1699.8,2273.0,311.5,79.6,True,2
495,16,2,4858.3,5500.3,4392.8,-465.5,642.0,1695.2,2237.8,668.0,0.0,True,1
496,12,1,3979.3,5035.9,4095.9,116.6,1056.6,1906.4,2316.2,66.0,0.0,True,1
497,10,2,4264.9,5507.8,4246.2,-18.7,1242.9,1747.3,2223.1,514.9,0.0,True,1
498,15,2,4013.3,5188.4,4206.5,193.3,1175.2,1728.2,2363.2,73.3,0.0,True,2
499,10,0,3983.9,3983.9,4320.6,336.8,0.0,2044.3,2428.3,0.0,0.0,False,0
500,12,2,4583.4,5867.9,4518.2,-65.1,1284.5,2153.3,2554.2,632.6,0.0,True,0
501,15,2,4677.4,6016.9,4476.6,-200.9,1339.5,2007.0,2278.5,440.5,0.0,True,1
502,15,3,4868.1,5640.9,4814.5,-53.7,772.8,1387.3,2147.6,860.4,382.7,True,2
503,16,2,4824.5,5178.8,4291.7,-532.8,354.2,1857.4,2214.6,623.0,0.0,True,2
504,16,2,4749.3,5837.5,5121.2,371.9,1088.2,2042.1,2489.1,366.5,123.0,True,2
505,10,2,4598.8,5608.1,4113.3,-485.5,1009.3,2109.2,2608.4,431.8,0.0,True,1
506,10,3,4569.9,5152.9,4102.1,-467.8,583.0,1506.2,2228.7,788.6,0.0,True,3
507,13,2,4342.1,5236.7,4098.1,-244.0,894.6,1770.3,2083.2,597.2,0.0,True,2
508,14,2,4538.6,5846.9,4474.0,-64.6,1308.3,1664.4,2196.8,470.2,0.0,True,1
509,11,2,4282.8,5538.7,4380.7,97.9,1255.9,2081.5,2461.5,222.8,0.0,True,2
510,16,2,4958.4,6109.2,4717.4,-241.0,1150.9,1824.9,2442.3,319.5,0.0,True,1
511,11,1,3854.5,5019.0,4246.7,392.2,1164.5,1675.5,2185.1,151.0,0.0,True,1
512,13,5,4808.6,5405.7,4350.4,-458.2,597.1,1579.6,2099.9,870.5,209.0,True,3
513,16,5,5759.2,6169.0,4366.4,-1392.8,409.8,1578.8,2033.8,891.0,0.0,True,3
514,12,4,4411.7,5151.8,4341.0,-70.7,740.1,1942.2,2419.9,634.3,0.0,True,4
515,14,5,5521.5,6176.0,5445.7,-75.8,654.6,1936.7,2298.1,863.4,416.5,True,3
516,15,5,5410.2,5981.6,4563.7,-846.5,571.5,1790.3,2486.3,972.3,0.0,True,3
517,13,3,4497.7,5375.9,4312.6,-185.1,878.2,1837.8,2177.5,659.4,166.7,True,2
518,16,4,5131.7,5679.4,4678.2,-453.5,547.7,1720.7,2337.8,878.1,0.0,True,4
519,13,1,4406.1,4955.0,4767.8,361.7,548.9,1905.3,2612.6,322.2,125.1,True,1
