# 问题三 权衡分析逐案明细(同一场景 + 固定误差场; need = 基础扫描后需补测频道数, 运行时可观测)
k,n_src,need_base6,T_base6,T_aux9,T_adopted,dT_adopted,dT_aux9,cov_base6,cov_adopted,sup_base6,sup_adopted,fired,resolved
58,13,1,4060.8,5299.2,4297.4,236.5,1238.3,1733.2,2161.2,334.2,360.8,True,0
59,13,2,4619.0,5264.2,4340.0,-279.0,645.2,1933.1,2269.6,314.5,0.0,True,2
60,10,2,4800.8,5382.9,4496.3,-304.5,582.2,1965.5,2503.1,488.9,0.0,True,2
61,13,0,3888.3,3888.3,3858.8,-29.5,0.0,1496.6,2061.9,0.0,0.0,False,0
62,16,2,5219.9,6440.1,5427.5,207.6,1220.2,1952.9,2354.0,371.3,189.6,True,0
63,11,2,4462.4,5216.6,4294.4,-168.0,754.2,2111.0,2678.6,218.7,0.0,True,2
64,11,1,3527.6,4876.0,3659.2,131.5,1348.4,1629.0,2039.1,179.3,0.0,True,0
65,15,4,5010.1,5393.5,4408.5,-601.7,383.3,1494.0,2169.0,911.4,0.0,True,4
66,16,3,5350.3,5898.9,4955.4,-395.0,548.6,1972.3,2446.5,677.4,178.2,True,2
67,10,3,4708.1,6039.7,4174.8,-533.3,1331.6,2178.6,2551.1,586.5,0.0,True,1
68,13,2,4964.9,5506.8,4443.8,-521.0,542.0,1977.2,2368.0,798.0,0.0,True,2
69,10,3,4406.7,5764.1,4482.6,76.0,1357.4,2151.1,2678.6,374.4,0.0,True,1
70,10,1,4303.9,5149.3,4336.1,32.2,845.4,1938.5,2410.1,445.5,0.0,True,1
71,15,6,5872.3,6221.9,4620.8,-1251.5,349.6,2076.1,2524.0,1114.5,0.0,True,5
72,13,1,4549.9,5947.4,4479.5,-70.4,1397.5,1829.8,2345.3,408.9,0.0,True,0
73,11,0,3927.0,3927.0,4257.5,330.6,0.0,1973.0,2452.4,0.0,0.0,False,0
74,13,1,3989.0,5171.1,4199.1,210.2,1182.1,1576.8,2233.2,167.6,0.0,True,1
75,16,3,4535.3,5880.0,4370.3,-165.0,1344.7,1764.4,2287.6,567.9,0.0,True,1
76,14,0,3994.8,3994.8,4361.3,366.5,0.0,1668.2,2156.4,0.0,0.0,False,0
77,11,3,4312.7,4618.8,3928.6,-384.1,306.1,1656.4,2229.4,435.5,0.0,True,3
78,10,2,3856.1,5027.8,4151.5,295.4,1171.7,2166.5,2571.4,175.8,0.0,True,2
79,10,2,4218.7,5034.0,4141.5,-77.2,815.3,1719.8,2575.3,537.2,0.0,True,2
