-1548.505,-1171.594
-1810.648,-283.272
-1838.208,435.093
-1366.795,1254.801
-772.343,-1714.099
-1053.633,-848.967
-1037.264,-32.657
-1060.406,883.632
-911.526,1613.717
66.165,-1861.716
-357.775,-1391.629
-463.223,-474.349
-250.053,450.618
-258.892,1388.985
-296.147,1808.476
516.348,-1777.483
406.711,-877.507
333.103,-6.504
401.193,927.350
568.695,1815.845
1146.574,-1440.378
1090.117,-492.846
1175.054,419.428
1221.611,1377.741
1797.953,-738.632
1837.899,-122.731
1730.516,805.452
