起点: 27 点格点块, 证书 通过, 成本 6673 s (TSP 24120 m)
  [1059] 新最优: 成本 6072 s, 27 点, TSP 21112 m, 证书通过(支撑余量 22.9 m, 盘内最大边 995 m)
  [1079] 新最优: 成本 6067 s, 27 点, TSP 21089 m, 证书通过(支撑余量 22.9 m, 盘内最大边 998 m)
  [1085] 新最优: 成本 6045 s, 27 点, TSP 20978 m, 证书通过(支撑余量 22.9 m, 盘内最大边 998 m)
  [1092] 新最优: 成本 6033 s, 27 点, TSP 20917 m, 证书通过(支撑余量 22.9 m, 盘内最大边 998 m)
  [1105] 新最优: 成本 6027 s, 27 点, TSP 20890 m, 证书通过(支撑余量 22.9 m, 盘内最大边 998 m)
  [1129] 新最优: 成本 6010 s, 27 点, TSP 20804 m, 证书通过(支撑余量 22.9 m, 盘内最大边 993 m)
  [1131] 新最优: 成本 6008 s, 27 点, TSP 20794 m, 证书通过(支撑余量 22.9 m, 盘内最大边 993 m)
  [1133] 新最优: 成本 6008 s, 27 点, TSP 20791 m, 证书通过(支撑余量 22.9 m, 盘内最大边 993 m)
  [1145] 新最优: 成本 5987 s, 27 点, TSP 20689 m, 证书通过(支撑余量 22.9 m, 盘内最大边 996 m)
  [1149] 新最优: 成本 5959 s, 27 点, TSP 20549 m, 证书通过(支撑余量 22.9 m, 盘内最大边 996 m)
  [1260] 新最优: 成本 5953 s, 27 点, TSP 20516 m, 证书通过(支撑余量 29.0 m, 盘内最大边 996 m)
  [1585] 新最优: 成本 5947 s, 27 点, TSP 20487 m, 证书通过(支撑余量 13.4 m, 盘内最大边 994 m)
  [1586] 新最优: 成本 5935 s, 27 点, TSP 20427 m, 证书通过(支撑余量 13.4 m, 盘内最大边 994 m)
  [1591] 新最优: 成本 5933 s, 27 点, TSP 20419 m, 证书通过(支撑余量 13.4 m, 盘内最大边 994 m)
  [1596] 新最优: 成本 5932 s, 27 点, TSP 20414 m, 证书通过(支撑余量 3.3 m, 盘内最大边 994 m)
  [1608] 新最优: 成本 5925 s, 27 点, TSP 20378 m, 证书通过(支撑余量 3.3 m, 盘内最大边 994 m)
  [1617] 新最优: 成本 5923 s, 27 点, TSP 20369 m, 证书通过(支撑余量 3.3 m, 盘内最大边 994 m)
  [1621] 新最优: 成本 5917 s, 27 点, TSP 20339 m, 证书通过(支撑余量 3.3 m, 盘内最大边 994 m)
  [1672] 新最优: 成本 5916 s, 27 点, TSP 20331 m, 证书通过(支撑余量 10.6 m, 盘内最大边 997 m)
  [1684] 新最优: 成本 5914 s, 27 点, TSP 20323 m, 证书通过(支撑余量 10.6 m, 盘内最大边 997 m)
  [1698] 新最优: 成本 5905 s, 27 点, TSP 20276 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1701] 新最优: 成本 5857 s, 27 点, TSP 20036 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1702] 新最优: 成本 5841 s, 27 点, TSP 19959 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1711] 新最优: 成本 5816 s, 27 点, TSP 19833 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1713] 新最优: 成本 5813 s, 27 点, TSP 19818 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1726] 新最优: 成本 5785 s, 27 点, TSP 19680 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1730] 新最优: 成本 5775 s, 27 点, TSP 19626 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1731] 新最优: 成本 5767 s, 27 点, TSP 19585 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1732] 新最优: 成本 5752 s, 27 点, TSP 19512 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1733] 新最优: 成本 5739 s, 27 点, TSP 19445 m, 证书通过(支撑余量 8.1 m, 盘内最大边 997 m)
  [1874] 新最优: 成本 5729 s, 27 点, TSP 19399 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1903] 新最优: 成本 5725 s, 27 点, TSP 19376 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1904] 新最优: 成本 5724 s, 27 点, TSP 19371 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1913] 新最优: 成本 5722 s, 27 点, TSP 19363 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1916] 新最优: 成本 5721 s, 27 点, TSP 19357 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1917] 新最优: 成本 5713 s, 27 点, TSP 19317 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1922] 新最优: 成本 5712 s, 27 点, TSP 19314 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1923] 新最优: 成本 5712 s, 27 点, TSP 19313 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1933] 新最优: 成本 5711 s, 27 点, TSP 19306 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1937] 新最优: 成本 5711 s, 27 点, TSP 19305 m, 证书通过(支撑余量 9.3 m, 盘内最大边 998 m)
  [1952] 新最优: 成本 5705 s, 27 点, TSP 19277 m, 证书通过(支撑余量 0.2 m, 盘内最大边 997 m)
  [1956] 新最优: 成本 5697 s, 27 点, TSP 19237 m, 证书通过(支撑余量 0.2 m, 盘内最大边 997 m)
  [1961] 新最优: 成本 5697 s, 27 点, TSP 19237 m, 证书通过(支撑余量 0.2 m, 盘内最大边 997 m)
  [2015] 新最优: 成本 5696 s, 27 点, TSP 19231 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2016] 新最优: 成本 5695 s, 27 点, TSP 19230 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2019] 新最优: 成本 5694 s, 27 点, TSP 19222 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2020] 新最优: 成本 5688 s, 27 点, TSP 19194 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2033] 新最优: 成本 5681 s, 27 点, TSP 19157 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2049] 新最优: 成本 5672 s, 27 点, TSP 19110 m, 证书通过(支撑余量 13.5 m, 盘内最大边 996 m)
  [2052] 新最优: 成本 5671 s, 27 点, TSP 19105 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2056] 新最优: 成本 5670 s, 27 点, TSP 19101 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2068] 新最优: 成本 5670 s, 27 点, TSP 19101 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2071] 新最优: 成本 5666 s, 27 点, TSP 19084 m, 证书通过(支撑余量 13.5 m, 盘内最大边 990 m)
  [2081] 新最优: 成本 5639 s, 27 点, TSP 18947 m, 证书通过(支撑余量 10.0 m, 盘内最大边 990 m)
  [2134] 新最优: 成本 5630 s, 27 点, TSP 18902 m, 证书通过(支撑余量 7.2 m, 盘内最大边 995 m)
  [2139] 新最优: 成本 5622 s, 27 点, TSP 18864 m, 证书通过(支撑余量 7.2 m, 盘内最大边 995 m)
  [2144] 新最优: 成本 5610 s, 27 点, TSP 18800 m, 证书通过(支撑余量 7.2 m, 盘内最大边 995 m)
  [2198] 新最优: 成本 5608 s, 27 点, TSP 18792 m, 证书通过(支撑余量 0.7 m, 盘内最大边 995 m)
  [2217] 新最优: 成本 5606 s, 27 点, TSP 18783 m, 证书通过(支撑余量 0.7 m, 盘内最大边 995 m)
  [2236] 新最优: 成本 5606 s, 27 点, TSP 18781 m, 证书通过(支撑余量 0.7 m, 盘内最大边 997 m)
  [2266] 新最优: 成本 5602 s, 27 点, TSP 18762 m, 证书通过(支撑余量 0.7 m, 盘内最大边 999 m)
  [2291] 新最优: 成本 5599 s, 27 点, TSP 18747 m, 证书通过(支撑余量 0.7 m, 盘内最大边 997 m)
  [2309] 新最优: 成本 5596 s, 27 点, TSP 18733 m, 证书通过(支撑余量 0.7 m, 盘内最大边 997 m)
  [2498] 新最优: 成本 5594 s, 27 点, TSP 18721 m, 证书通过(支撑余量 12.7 m, 盘内最大边 996 m)
  [2502] 新最优: 成本 5588 s, 27 点, TSP 18691 m, 证书通过(支撑余量 12.7 m, 盘内最大边 996 m)
  [2520] 新最优: 成本 5587 s, 27 点, TSP 18687 m, 证书通过(支撑余量 10.3 m, 盘内最大边 996 m)
  [2525] 新最优: 成本 5568 s, 27 点, TSP 18595 m, 证书通过(支撑余量 4.1 m, 盘内最大边 996 m)
  [2527] 新最优: 成本 5557 s, 27 点, TSP 18537 m, 证书通过(支撑余量 4.1 m, 盘内最大边 999 m)
  [2572] 新最优: 成本 5550 s, 27 点, TSP 18504 m, 证书通过(支撑余量 4.1 m, 盘内最大边 999 m)
  [2593] 新最优: 成本 5544 s, 27 点, TSP 18471 m, 证书通过(支撑余量 4.1 m, 盘内最大边 999 m)
  [2631] 新最优: 成本 5541 s, 27 点, TSP 18456 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2638] 新最优: 成本 5534 s, 27 点, TSP 18423 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2643] 新最优: 成本 5532 s, 27 点, TSP 18411 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2667] 新最优: 成本 5522 s, 27 点, TSP 18363 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2677] 新最优: 成本 5520 s, 27 点, TSP 18352 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2724] 新最优: 成本 5518 s, 27 点, TSP 18342 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2727] 新最优: 成本 5515 s, 27 点, TSP 18325 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2730] 新最优: 成本 5507 s, 27 点, TSP 18285 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2731] 新最优: 成本 5503 s, 27 点, TSP 18266 m, 证书通过(支撑余量 1.4 m, 盘内最大边 996 m)
  [2745] 新最优: 成本 5502 s, 27 点, TSP 18261 m, 证书通过(支撑余量 1.4 m, 盘内最大边 998 m)
  [2753] 新最优: 成本 5501 s, 27 点, TSP 18260 m, 证书通过(支撑余量 1.4 m, 盘内最大边 998 m)
  [2779] 新最优: 成本 5499 s, 27 点, TSP 18247 m, 证书通过(支撑余量 1.4 m, 盘内最大边 998 m)
  [2786] 新最优: 成本 5493 s, 27 点, TSP 18218 m, 证书通过(支撑余量 1.4 m, 盘内最大边 998 m)
  [2807] 新最优: 成本 5488 s, 27 点, TSP 18194 m, 证书通过(支撑余量 1.4 m, 盘内最大边 998 m)
  [2895] 新最优: 成本 5483 s, 27 点, TSP 18166 m, 证书通过(支撑余量 3.6 m, 盘内最大边 999 m)
  [2909] 新最优: 成本 5483 s, 27 点, TSP 18165 m, 证书通过(支撑余量 3.6 m, 盘内最大边 999 m)
  [2915] 新最优: 成本 5483 s, 27 点, TSP 18165 m, 证书通过(支撑余量 3.6 m, 盘内最大边 999 m)
  [2920] 新最优: 成本 5481 s, 27 点, TSP 18156 m, 证书通过(支撑余量 3.6 m, 盘内最大边 999 m)
  [2932] 新最优: 成本 5475 s, 27 点, TSP 18129 m, 证书通过(支撑余量 3.6 m, 盘内最大边 999 m)
  [2955] 新最优: 成本 5466 s, 27 点, TSP 18081 m, 证书通过(支撑余量 3.6 m, 盘内最大边 999 m)
  [2959] 新最优: 成本 5466 s, 27 点, TSP 18080 m, 证书通过(支撑余量 3.6 m, 盘内最大边 999 m)
  [2992] 新最优: 成本 5457 s, 27 点, TSP 18038 m, 证书通过(支撑余量 3.6 m, 盘内最大边 999 m)

最优: 27 点, 成本 5457 s (TSP 18038 m), 证书 通过
  连续证书指标: {'n': 27, 'n_tri': 37, 'a_hull': 10701448.5239, 'gap': 0.0, 'ov': 0.0, 'support_margin': 3.5694, 'max_edge_disk': 998.6194, 'hull_v': 15}
  已写入 D:\My_MathModeling_Project\problem4_robot\results\station_opt_best.txt
  当前设计对照: 27 点, 成本 6673 s (TSP 24120 m)
