-1525.822,-1159.101
-1814.599,-529.799
-1871.546,324.186
-1494.980,1150.532
-815.955,-1656.891
-1030.333,-956.752
-1027.903,-14.444
-1077.032,861.010
-1091.178,1595.163
-163.785,-1854.515
-199.155,-1400.389
-326.027,-527.115
-338.297,429.680
-287.973,1359.932
-208.279,1827.380
519.217,-1836.287
506.469,-935.496
456.079,-79.872
468.089,863.335
521.382,1782.877
1282.170,-1328.425
1072.967,-458.208
1137.381,481.820
1231.712,1427.778
1694.443,-901.536
1852.241,15.253
1669.309,913.866
