angle,comparison,mean_error_difference,paired_ci_low,paired_ci_high
30,angle minus 90,13.12917232170646,8.467457780801537,18.090850493024973
45,angle minus 90,5.331944996620445,2.791006409825127,7.914306886144473
60,angle minus 90,1.9998120715836252,0.6212869096738153,3.409002087038866
120,angle minus 90,1.779723399679528,0.42503262943033593,3.202709613032254
