experiment_type,setting,n,area_mean,area_std,area_ci_low,area_ci_high,diameter_mean,diameter_std,diameter_ci_low,diameter_ci_high,cover_radius_mean,cover_radius_std,cover_radius_ci_low,cover_radius_ci_high,localization_error_mean,localization_error_std,localization_error_ci_low,localization_error_ci_high,area_bound_gap_mean
number,2,30,1225.3950679779052,18.5326412914591,1218.627715330124,1231.8654865694045,49.71874091461826,0.4299113536133506,49.57799333857147,49.884328481481134,24.910486929084893,0.2112498271957761,24.840921394147358,24.992369705349592,14.364017143475634,5.373571013018795,12.304402393704208,16.160758578869547,6.176740264892578
number,3,30,691.1732105255127,364.98988933478245,565.3661900568007,822.2377238130568,42.832077955562546,9.686964335031472,39.263468681823966,46.09082256138503,21.472328042639404,4.830916717786081,19.69432789081675,23.096282857717366,10.309852582285417,5.955791656669004,8.203640002179997,12.439534092398617,4.784923553466797
number,4,30,497.8908290863037,379.108396793955,372.87963136196134,630.1641017961501,38.24671884986383,13.5852683609918,33.42761937052111,43.12272037115531,19.18351651839156,6.7811335111686555,16.775849940865438,21.621127026085247,9.87811256396209,5.482872341328042,7.931009195239472,11.804948540279474,4.029503631591797
number,5,30,267.00641269683837,256.64961841012973,184.5360780286789,365.0890508222578,25.298948964965472,9.176251647659546,22.074446289294404,28.503037896492174,12.928545671512856,4.730676807177628,11.260834545271754,14.599419920102294,6.750603369054023,3.983384738994391,5.405761443566239,8.167096371938236,2.8847042083740235
number,6,30,192.9562831878662,181.61806223817996,134.2782100868225,260.5922615289688,22.11462523172604,9.492566220744317,18.67738511171643,25.53605286993181,11.234127272270774,4.798430857600165,9.512322458997533,12.966264616055994,5.711466674832492,3.8806859487829497,4.409773415412054,7.137439202416953,2.4649818420410154
error,0.2,30,27.951319885253906,14.613509441644641,22.897696022987365,33.158062434196474,8.505426929377649,1.9294966745860433,7.79805826727729,9.152497266480973,4.309603570325675,0.9529682447557999,3.960720080826623,4.63018092399465,2.0590434561816107,1.1924500296568057,1.6361027936999621,2.487815689526488,0.944439697265625
error,0.5,30,254.35058498382568,28.585400865291987,244.355607919693,264.34429634571075,24.563483109875683,0.27281885270860856,24.462111589295567,24.650247370938516,12.330018770927925,0.13259449015600677,12.281246216715218,12.372253537015897,2.131995144787855,1.1458293430632336,1.7168362604507295,2.535346008728154,2.8076831817626955
error,1.0,30,1097.2332075119018,32.90186367808071,1085.7082465839385,1108.682765879631,49.374241304649594,0.15332470779557905,49.31854992467297,49.427357889773646,24.736398712114465,0.07588528932463233,24.70858413392843,24.762977402679898,2.1654422081489755,1.1535165432567611,1.7495005101643537,2.577222488797636,5.728879165649414
error,1.5,30,2506.191309928894,33.65150193434951,2494.435129108429,2517.6345144224165,74.12278633951674,0.22893803436280943,74.03959688561041,74.20203986987498,37.10830482121405,0.11659159897736293,37.06582821068907,37.148842241899196,2.2394885627182983,1.1442495118792109,1.8241261787956995,2.6508121694833076,8.607887649536133
error,2.0,30,4480.560804748535,35.09563185315169,4468.404476366043,4492.803048963547,98.91360270142921,0.30703598194077214,98.80313231347071,99.0203060396083,49.50305363942316,0.15288318811554655,49.44741247633923,49.55686268489301,2.37969144728812,1.1229027984743527,1.979988398590392,2.7967236245364626,11.508329772949219
angle,30,30,2501.8968572616577,204.7688659354245,2427.342459669113,2574.234595012665,137.117645910861,7.749925257254177,134.28388790389408,139.84225157354538,68.65386996738086,3.87210088181721,67.23848508786357,70.01666157762172,27.493189465182095,15.91179814649338,21.873202802144096,33.13525612655843,12.72355842590332
angle,45,30,1749.9500141143799,90.14264648919843,1717.0519589281082,1781.5878684997558,92.03237752176253,3.374335416919177,90.80390494450738,93.20926054614623,46.0873478643443,1.6897052098116248,45.46982396256609,46.6770642464984,19.695962140096082,9.94305648057592,16.121000194829996,23.154798844345624,8.87369155883789
angle,60,30,1421.859294319153,49.788130625967966,1403.6439776945112,1439.267030081749,70.21306429334079,1.8527091604720016,69.540102954369,70.85928750517286,35.15927226105512,0.9260378014378763,34.821996105273456,35.48173137594004,16.36382921505926,7.164659518025496,13.808007144726053,18.767313242532914,7.12895622253418
angle,90,30,1225.3950679779052,18.5326412914591,1218.627715330124,1231.8654865694045,49.71874091461826,0.4299113536133506,49.57799333857147,49.884328481481134,24.910486929084893,0.2112498271957761,24.840921394147358,24.992369705349592,14.364017143475634,5.373571013018795,12.304402393704208,16.160758578869547,6.176740264892578
angle,120,30,1410.5465606689454,0.7026042352287207,1410.297318263054,1410.7916183137893,69.65964841844882,0.6222247835155965,69.44509894791112,69.88433561925696,34.88463421165252,0.3118200955186419,34.777249750444284,34.9977758603992,16.143740543155165,7.086713306763699,13.636066779429239,18.650428211142554,7.206729125976563
