requested_resolution,status,area,area_lower,area_upper,diameter,diameter_upper,cover_radius,cover_radius_lower,centroid_x,centroid_y,centroid_error_bound,cover_center_x,cover_center_y,localization_error,valid_point_count,leaf_count,boundary_width,visited_cells,rel_gap_A,rel_gap_D,rel_gap_r
0.28125,sampled,1002.7705078125,980.42431640625,1025.11669921875,49.707705207857366,50.520204033881335,25.260102016940667,24.853852603928683,-13.341965879523176,159.3670608057001,2.202547573528528,-16.734375,158.484375,8.929403399028738,1904,1112,0.28125,42252,0.044568904314901,0.016213025536915292,0.016213025536915292
0.140625,sampled,992.3365173339844,981.1213989257812,1003.5516357421876,49.89235482829508,50.206276161607775,25.103138080803888,24.94617741414754,-13.343547102462548,159.36487614510742,1.1221531846160622,-16.8046875,158.484375,8.930933078960448,3890,2251,0.140625,44540,0.0226034580251743,0.006272240293563209,0.006272240293563209
0.0703125,sampled,986.9057006835938,981.2820739746094,992.529327392578,49.89235482829508,50.07711338681823,25.03855669340912,24.94617741414754,-13.344227940493449,159.36514660095605,0.5674693625240597,-16.8046875,158.4140625,8.930450494176235,7853,4524,0.0703125,49112,0.01139648236926595,0.003696299716741281,0.003696299716741423
0.03515625,sampled,984.1578483581544,981.351905822754,986.9637908935548,49.92466018859106,50.01701568986806,25.00850784493403,24.96233009429553,-13.344252079526129,159.36564840876392,0.2843972050705675,-16.8046875,158.431640625,8.929969506407256,15810,9064,0.03515625,58256,0.005702220512860764,0.0018481879649349345,0.0018481879649349345
0.017578125,sampled,982.7762746810912,981.3667373657228,984.18581199646,49.93159463314428,49.97777494480759,24.9888874724038,24.96579731657214,-13.344325378649843,159.36570192855456,0.1431549568488519,-16.7958984375,158.431640625,8.929894554891094,31806,18227,0.017578125,76552,0.0028684805518447974,0.0009244440608201899,0.0009244440608203321
