outer_x,outer_y,inner_x,inner_y,diameter_x,diameter_y,mec_x,mec_y,diam_circle_x,diam_circle_y,observer_x,observer_y,truth_x,truth_y
18.6328125,-23.58984375,18.66796875,-23.5546875,18.66796875,-23.5546875,50.23326488353184,-11.161631763297407,43.30477837401283,-8.296875,-962.9408965645523,138.15875997681175,26.997069074691353,-3.343268934563941
18.80859375,-23.625,18.720703125,-23.572265625,33.85546875,6.9609375,50.230490573574556,-10.843727330252454,43.302182633482175,-7.999432596506872,-114.50495983668395,-993.2812345738076,,
20.49609375,-23.90625,18.931640625,-23.607421875,,,50.222168488784405,-10.525919733977418,43.29439620257794,-7.702080796851237,955.0595099446509,369.08136216076616,,
23.484375,-24.3984375,22.130859375,-24.134765625,,,50.208301164149034,-10.20830578174479,43.28142145312239,-7.404910177271782,-773.051823577722,-603.2780731971999,,
26.26171875,-24.85546875,25.119140625,-24.626953125,,,50.18889282378985,-9.890982221841222,43.263262337349914,-7.108011258817987,626.9318733373276,-803.3921615869771,,
26.5078125,-24.85546875,26.296875,-24.8203125,,,50.16394937967535,-9.57404571409704,43.23992438670308,-6.811474479776538,,,,
27.421875,-24.46875,26.419921875,-24.837890625,,,50.133478429820244,-9.257592800442735,43.21141471014773,-6.515390168122948,,,,
43.41796875,-17.68359375,26.47265625,-24.8203125,,,50.09748925597103,-8.941719875501354,43.177741992007526,-6.219848514006777,,,,
49.21875,-15.22265625,27.38671875,-24.43359375,,,50.05599282077869,-8.626523157225767,43.13891648931862,-5.924939542278848,,,,
49.7109375,-15.01171875,31.904296875,-22.517578125,,,50.009001764459384,-8.312098657589736,43.09495002870522,-5.630753085068795,,,,
49.8515625,-14.94140625,43.3828125,-17.6484375,,,49.95653040094408,-7.998542153341752,43.04585600277716,-5.337378754421334,,,,
49.88671875,-14.90625,49.18359375,-15.1875,,,49.8985947135184,-7.685949156830498,42.99164936605031,-5.044905914999559,,,,
49.88671875,-14.8359375,49.798828125,-14.923828125,,,49.83521234995396,-7.374414886910866,42.93234663039134,-4.753423656863607,,,,
49.60546875,-14.44921875,49.8515625,-14.87109375,,,49.76640261713273,-7.064034239939375,42.867965859988004,-4.463020768332959,,,,
46.44140625,-10.125,49.763671875,-14.748046875,,,49.69218647516587,-6.754901760867818,42.79852666584664,-4.173785708940657,,,,
37.23046875,2.4609375,48.708984375,-13.306640625,,,49.61258653100918,-6.447111614443954,42.72405019981845,-3.8858065824876737,,,,
34.734375,5.87109375,34.892578125,5.572265625,,,49.527627031576756,-6.140757556528012,42.64455914815646,-3.5991711102056447,,,,
33.9609375,6.92578125,33.92578125,6.890625,,,49.43733385635515,-5.835932905533751,42.56007772460505,-3.313966604036125,,,,
33.890625,6.99609375,33.85546875,6.9609375,,,49.34173450952022,-5.532730514002771,42.47063166302423,-3.030279940034535,,,,
33.8203125,6.99609375,33.29296875,6.5390625,,,49.240858111559106,-5.231242740320714,42.37624820955084,-2.748197531906861,,,,
33.2578125,6.57421875,23.484375,-0.87890625,,,49.13473539039984,-4.9315614205840275,42.27695611429911,-2.4678053046872153,,,,
