case1_poly_x,case1_poly_y,case1_mec_x,case1_mec_y,case1_diam_x,case1_diam_y,case2_poly_x,case2_poly_y,case2_mec_x,case2_mec_y,case2_diam_x,case2_diam_y,case3_poly_x,case3_poly_y,case3_mec_x,case3_mec_y,case3_diam_x,case3_diam_y
-2.0,0.0,2.0,0.0,-2.0,0.0,-1.2846912776303603,-1.2556699586960165,2.4194905805446707,0.19865291643391503,-1.2846912776303603,-1.2556699586960165,-2.0,-1.1547005383792517,2.3094010767585034,6.661338147750939e-16,-2.0,-1.1547005383792517
-1.1,-0.35,1.9996953903127825,0.03490481287456702,2.0,0.0,-1.2785029081517134,-1.257732748522232,2.4191650157671623,0.2359589448182834,0.49755913221994214,2.325333179614313,2.0,-1.1547005383792517,2.309049343788678,0.04030460621829025,0.0,2.3094010767585034
1.1,-0.35,1.9987816540381915,0.06979899340500194,,,-1.2537494302371257,-1.2618583281746634,2.418188420604821,0.2732536094250143,,,0.0,2.3094010767585034,2.307994252020471,0.08059693526308624,,
2.0,0.0,1.9972590695091477,0.10467191248588767,,,-0.8783216818658816,-1.3237420229611323,2.416561092537995,0.310525549937987,,,-2.0,-1.1547005383792517,2.306236122845056,0.12086471370064107,,
1.1,0.35,1.9951281005196484,0.1395129474882506,,,-0.5276474114092249,-1.3815001380951697,2.4142835272665764,0.3477634129630597,,,,,2.3037754918056117,0.1610956755755599,,
-1.1,0.35,1.992389396183491,0.17431148549531633,,,-0.3894404930527778,-1.4041908261835416,2.411356418559011,0.38495585548642386,,,,,2.3006131084341894,0.20127756614712955,,
-2.0,0.0,1.9890437907365466,0.20905692653530694,,,-0.3750009642692684,-1.4062536160097574,2.4077806580409664,0.42209154832979556,,,,,2.296749936023398,0.24139814562223125,,
,,1.985092303282644,0.24373868681029495,,,-0.3688125947906215,-1.4041908261835416,2.403557334923736,0.4591591796013932,,,,,2.292187151332978,0.28144519288370007,,
,,1.9805361374831407,0.2783462019201309,,,-0.26154752382740887,-1.358809450006798,2.3986877356724534,0.4961474581416491,,,,,2.286926144231346,0.3214065092129957,,
,,1.9753766811902755,0.31286893008046174,,,0.26858946151000745,-1.1339653589492944,2.393173343614223,0.5330451169626065,,,,,2.2809685172722305,0.3612699220060503,,
