method,baseline,n,area_difference_mean,area_difference_ci_low,area_difference_ci_high,diameter_difference_mean,diameter_difference_ci_low,diameter_difference_ci_high,cover_radius_difference_mean,cover_radius_difference_ci_low,cover_radius_difference_ci_high,localization_error_difference_mean,localization_error_difference_ci_low,localization_error_difference_ci_high
dop_baseline,random,30,-63.99198989868164,-232.95894395828248,94.20584312438908,-12.708007512210633,-19.83423244153537,-6.291042442467875,-5.829956929293611,-9.404606655533938,-2.666353932556473,-1.1571654921602614,-3.831573129604852,1.2131311699460736
optimized,random,30,-175.64057006835938,-329.2099461364746,-23.165346279144426,-15.613094529722797,-23.01757900809017,-8.635005723361788,-7.488405001410041,-11.203533892201156,-4.024626971929012,-3.2073430844364927,-6.281574165600389,-0.22435156711804097
uniform,random,30,-118.35315856933593,-245.00548622131348,6.28942548751829,-15.012451405289005,-21.507987585607154,-9.135040767803467,-7.622605791010758,-10.87751151416605,-4.717703419868991,-3.1178879972742926,-6.069275023101589,-0.6508610681467895
