round,candidate_index,area,area_lower,area_upper,diameter,diameter_upper,min_intersection_angle,dop
2,1,4875.8895263671875,4790.173095703125,4961.60595703125,271.47910291643535,273.1888834041843,14.999999999999996,5.464101615137755
2,2,2491.1455078125,2444.35693359375,2537.93408203125,135.07966399499222,136.31198418059213,29.999999999999993,2.8284271247461903
2,3,1756.667724609375,1723.97900390625,1789.3564453125,91.03858750036986,91.92573535366742,45.00000000000001,2.0
2,4,1432.9940185546875,1406.524658203125,1459.46337890625,69.61292604578729,70.57357779518125,59.99999999999999,1.632993161855452
2,5,1280.990478515625,1260.1669921875,1301.81396484375,57.15467808117285,57.77206356124905,75.0,1.4641016151377546
2,6,1238.0185546875,1217.96630859375,1258.07080078125,49.12222678240981,49.917715495728565,90.0,1.4142135623730951
2,7,1280.318115234375,1259.296875,1301.33935546875,56.9834988450604,57.77206356124905,74.99999999999999,1.4641016151377546
2,8,1430.7989501953125,1405.417236328125,1456.1806640625,69.3693304271149,70.43277213502958,60.000000000000014,1.6329931618554518
2,9,1754.5220947265625,1721.981689453125,1787.0625,90.85485129538351,91.92573535366742,45.0,1.9999999999999998
2,10,2480.9908447265625,2434.330810546875,2527.65087890625,134.53631305803648,135.49742343606576,30.0,2.8284271247461903
2,11,4790.726806640625,4706.10791015625,4875.345703125,266.5075641295782,268.65396903475107,15.000000000000028,5.464101615137749
2,12,35481.36181640625,34909.1806640625,36053.54296875,1999.6875,2000.2500790916745,0.0,inf
2,13,4790.726806640625,4706.10791015625,4875.345703125,266.5075641295782,268.65396903475107,14.999999999999972,5.464101615137754
2,14,2480.9908447265625,2434.330810546875,2527.65087890625,134.53631305803648,135.49742343606576,30.0,2.82842712474619
2,15,1754.5220947265625,1721.981689453125,1787.0625,90.85485129538351,91.92573535366742,44.99999999999997,2.0000000000000004
2,16,1430.7989501953125,1405.417236328125,1456.1806640625,69.3693304271149,70.43277213502958,59.999999999999986,1.6329931618554525
2,17,1280.318115234375,1259.296875,1301.33935546875,56.9834988450604,57.77206356124905,75.0,1.4641016151377546
2,18,1238.0185546875,1217.96630859375,1258.07080078125,49.12222678240981,49.917715495728565,89.99999999999999,1.4142135623730951
2,19,1280.990478515625,1260.1669921875,1301.81396484375,57.15467808117285,57.77206356124905,75.00000000000003,1.4641016151377546
2,20,1432.9940185546875,1406.524658203125,1459.46337890625,69.61292604578729,70.57357779518125,59.99999999999999,1.632993161855452
2,21,1756.667724609375,1723.97900390625,1789.3564453125,91.03858750036986,91.92573535366742,45.000000000000014,1.9999999999999996
2,22,2491.1455078125,2444.35693359375,2537.93408203125,135.07966399499222,136.31198418059213,30.00000000000003,2.8284271247461876
2,23,4875.8895263671875,4790.173095703125,4961.60595703125,271.47910291643535,273.1888834041843,14.999999999999996,5.464101615137757
3,1,1174.18359375,1155.515625,1192.8515625,49.12222678240981,49.917715495728565,14.999999999999996,1.224744871391589
3,2,1141.87060546875,1122.80712890625,1160.93408203125,49.12222678240981,49.917715495728565,29.999999999999993,1.224744871391589
3,3,1131.409423828125,1111.9306640625,1150.88818359375,49.12222678240981,49.917715495728565,45.00000000000001,1.224744871391589
3,4,1141.87060546875,1122.80712890625,1160.93408203125,49.12222678240981,49.917715495728565,30.000000000000004,1.224744871391589
3,5,1174.18359375,1155.515625,1192.8515625,49.12222678240981,49.917715495728565,14.999999999999996,1.224744871391589
3,7,1173.8671875,1155.2783203125,1192.4560546875,48.923354636678894,49.71844555217912,14.999999999999996,1.224744871391589
3,8,1141.4058837890625,1122.431396484375,1160.38037109375,48.923354636678894,49.71844555217912,29.99999999999998,1.224744871391589
3,9,1131.2215576171875,1112.069091796875,1150.3740234375,48.923354636678894,49.71844555217912,45.0,1.224744871391589
3,10,1141.3465576171875,1122.352294921875,1160.3408203125,48.923354636678894,49.71844555217912,30.0,1.224744871391589
3,11,1173.7386474609375,1155.100341796875,1192.376953125,48.923354636678894,49.71844555217912,15.000000000000028,1.224744871391589
3,12,1227.22119140625,1207.3271484375,1247.115234375,48.53172287277673,49.32711285388594,0.0,1.224744871391589
3,13,1174.3714599609375,1155.733154296875,1193.009765625,49.12222678240981,49.917715495728565,14.999999999999972,1.224744871391589
3,14,1141.8310546875,1122.8466796875,1160.8154296875,49.12222678240981,49.917715495728565,30.0,1.224744871391589
3,15,1131.98291015625,1113.07763671875,1150.88818359375,49.12222678240981,49.917715495728565,44.99999999999997,1.224744871391589
3,16,1141.8310546875,1122.8466796875,1160.8154296875,49.12222678240981,49.917715495728565,30.00000000000003,1.2247448713915892
3,17,1174.3714599609375,1155.733154296875,1193.009765625,49.12222678240981,49.917715495728565,14.999999999999972,1.224744871391589
3,18,1227.22119140625,1207.3271484375,1247.115234375,48.53172287277673,49.32711285388594,0.0,1.224744871391589
3,19,1173.7386474609375,1155.100341796875,1192.376953125,48.923354636678894,49.71844555217912,14.999999999999972,1.224744871391589
3,20,1141.3465576171875,1122.352294921875,1160.3408203125,48.923354636678894,49.71844555217912,30.0,1.224744871391589
3,21,1131.2215576171875,1112.069091796875,1150.3740234375,48.923354636678894,49.71844555217912,44.99999999999997,1.224744871391589
3,22,1141.4058837890625,1122.431396484375,1160.38037109375,48.923354636678894,49.71844555217912,30.00000000000003,1.224744871391589
3,23,1173.8671875,1155.2783203125,1192.4560546875,48.923354636678894,49.71844555217912,14.999999999999996,1.224744871391589
4,1,1067.3865966796875,1049.618408203125,1085.15478515625,43.73640971954888,44.32789092729881,14.999999999999996,1.0327955589886444
4,2,1035.0736083984375,1016.909912109375,1053.2373046875,40.13556738768308,40.85489040876869,29.999999999999993,1.0084800728837513
4,3,1024.6124267578125,1006.033447265625,1043.19140625,37.70953180646108,38.296502063667646,45.0,1.0
4,4,1035.0736083984375,1016.909912109375,1053.2373046875,40.13556738768308,40.85489040876869,30.000000000000004,1.0084800728837513
4,5,1067.3865966796875,1049.618408203125,1085.15478515625,43.73640971954888,44.32789092729881,14.999999999999996,1.0327955589886444
4,7,1122.5599365234375,1103.407470703125,1141.71240234375,48.923354636678894,49.71844555217912,14.999999999999996,1.1094003924504583
4,8,1121.284423828125,1102.08251953125,1140.486328125,48.923354636678894,49.71844555217912,14.999999999999996,1.1420207817340478
4,10,1120.9482421875,1101.4892578125,1140.4072265625,48.923354636678894,49.71844555217912,15.000000000000018,1.1420207817340478
4,11,1122.3028564453125,1102.853759765625,1141.751953125,48.923354636678894,49.71844555217912,15.000000000000028,1.1094003924504583
4,12,1125.0911865234375,1105.938720703125,1144.24365234375,48.53172287277673,49.32711285388594,0.0,1.0690449676496976
4,13,1067.574462890625,1049.8359375,1085.31298828125,43.73640971954888,44.49975860187334,14.999999999999972,1.0327955589886444
4,14,1035.0340576171875,1016.949462890625,1053.11865234375,39.995391580233964,40.712334011021774,30.0,1.0084800728837513
4,15,1025.1859130859375,1007.180419921875,1043.19140625,37.70953180646108,38.296502063667646,44.99999999999997,0.9999999999999999
4,16,1035.0340576171875,1016.949462890625,1053.11865234375,39.995391580233964,40.712334011021774,30.00000000000003,1.0084800728837513
4,17,1067.574462890625,1049.8359375,1085.31298828125,43.73640971954888,44.49975860187334,14.999999999999972,1.0327955589886444
4,18,1125.3779296875,1106.51220703125,1144.24365234375,48.53172287277673,49.32711285388594,0.0,1.0690449676496976
4,19,1122.5599365234375,1103.447021484375,1141.6728515625,48.923354636678894,49.71844555217912,14.999999999999972,1.109400392450458
4,20,1121.2547607421875,1102.062744140625,1140.44677734375,48.923354636678894,49.71844555217912,14.999999999999972,1.1420207817340478
4,21,1127.197265625,1107.73828125,1146.65625,48.923354636678894,49.71844555217912,0.0,1.1547005383792515
4,22,1120.9581298828125,1101.469482421875,1140.44677734375,48.923354636678894,49.71844555217912,14.999999999999972,1.142020781734048
4,23,1122.2435302734375,1102.853759765625,1141.63330078125,48.923354636678894,49.71844555217912,14.999999999999996,1.109400392450458
5,1,1015.9508056640625,997.371826171875,1034.52978515625,37.70953180646108,38.296502063667646,14.999999999999996,0.9128709291752769
5,2,1014.6456298828125,996.027099609375,1033.26416015625,37.70953180646108,38.296502063667646,15.000000000000018,0.9128709291752768
5,4,1014.6456298828125,996.027099609375,1033.26416015625,37.70953180646108,38.296502063667646,15.000000000000018,0.9128709291752769
5,5,1015.9508056640625,997.371826171875,1034.52978515625,37.70953180646108,38.296502063667646,14.999999999999996,0.9128709291752768
5,7,1015.9508056640625,997.371826171875,1034.52978515625,37.70953180646108,38.296502063667646,14.999999999999996,0.9128709291752768
5,8,1014.67529296875,996.046875,1033.3037109375,37.70953180646108,38.296502063667646,14.999999999999996,0.9128709291752768
5,10,1014.339111328125,995.45361328125,1033.224609375,37.63341501619605,38.296502063667646,15.000000000000018,0.9128709291752768
5,11,1015.6937255859375,996.818115234375,1034.5693359375,37.63341501619605,38.296502063667646,15.000000000000028,0.9128709291752769
5,12,1022.961181640625,1004.55029296875,1041.3720703125,37.63341501619605,38.296502063667646,0.0,0.9128709291752768
5,13,1015.9508056640625,997.411376953125,1034.490234375,37.70953180646108,38.296502063667646,14.999999999999972,0.9128709291752769
5,14,1014.615966796875,996.00732421875,1033.224609375,37.70953180646108,38.296502063667646,14.999999999999972,0.9128709291752768
5,15,1020.8748779296875,1002.276123046875,1039.4736328125,37.70953180646108,38.296502063667646,0.0,0.9128709291752769
5,16,1014.615966796875,996.00732421875,1033.224609375,37.70953180646108,38.296502063667646,14.999999999999972,0.9128709291752768
5,17,1015.9508056640625,997.411376953125,1034.490234375,37.70953180646108,38.296502063667646,14.999999999999972,0.9128709291752768
5,18,1023.2479248046875,1005.123779296875,1041.3720703125,37.70953180646108,38.296502063667646,0.0,0.9128709291752768
5,19,1015.9508056640625,997.411376953125,1034.490234375,37.70953180646108,38.296502063667646,14.999999999999972,0.9128709291752769
5,20,1014.6456298828125,996.027099609375,1033.26416015625,37.70953180646108,38.296502063667646,14.999999999999972,0.9128709291752769
5,21,1020.588134765625,1001.70263671875,1039.4736328125,37.63341501619605,38.296502063667646,0.0,0.9128709291752769
5,22,1014.3489990234375,995.433837890625,1033.26416015625,37.63341501619605,38.296502063667646,14.999999999999972,0.9128709291752769
5,23,1015.6343994140625,996.818115234375,1034.45068359375,37.63341501619605,38.296502063667646,14.999999999999996,0.9128709291752769
6,1,1005.677490234375,986.7919921875,1024.56298828125,37.63341501619605,38.296502063667646,14.999999999999996,0.8401680504168059
6,2,1004.372314453125,985.447265625,1023.29736328125,37.63341501619605,38.296502063667646,15.000000000000018,0.828078671210825
6,4,1004.372314453125,985.447265625,1023.29736328125,37.63341501619605,38.296502063667646,15.000000000000018,0.816496580927726
6,5,1005.677490234375,986.7919921875,1024.56298828125,37.63341501619605,38.296502063667646,14.999999999999996,0.819552254706542
6,7,1005.914794921875,987.029296875,1024.80029296875,37.63341501619605,38.296502063667646,14.999999999999996,0.8401680504168059
6,8,1005.3017578125,986.35693359375,1024.24658203125,37.63341501619605,38.296502063667646,14.999999999999996,0.8528028654224417
6,11,1011.7386474609375,992.863037109375,1030.6142578125,37.63341501619605,38.296502063667646,14.999999999999996,0.8624222223848279
6,12,1013.192138671875,994.7021484375,1031.68212890625,37.63341501619605,38.296502063667646,0.0,0.8528028654224418
6,13,1005.677490234375,986.83154296875,1024.5234375,37.63341501619605,38.296502063667646,14.999999999999972,0.8401680504168059
6,14,1004.3426513671875,985.427490234375,1023.2578125,37.63341501619605,38.296502063667646,14.999999999999972,0.828078671210825
6,15,1010.6015625,991.6962890625,1029.5068359375,37.63341501619605,38.296502063667646,0.0,0.819552254706542
6,16,1004.3426513671875,985.427490234375,1023.2578125,37.63341501619605,38.296502063667646,14.999999999999972,0.816496580927726
6,17,1005.677490234375,986.83154296875,1024.5234375,37.63341501619605,38.296502063667646,14.999999999999972,0.819552254706542
6,18,1013.0042724609375,994.563720703125,1031.44482421875,37.63341501619605,38.296502063667646,0.0,0.828078671210825
6,19,1005.9444580078125,987.088623046875,1024.80029296875,37.63341501619605,38.296502063667646,14.999999999999972,0.8401680504168059
6,20,1005.281982421875,986.35693359375,1024.20703125,37.63341501619605,38.296502063667646,14.999999999999972,0.8528028654224418
6,21,1012.93505859375,994.02978515625,1031.84033203125,37.63341501619605,38.296502063667646,0.0,0.8624222223848279
6,22,1013.943603515625,995.05810546875,1032.8291015625,37.63341501619605,38.296502063667646,0.0,0.8660254037844386
6,23,1011.66943359375,992.76416015625,1030.57470703125,37.63341501619605,38.296502063667646,14.999999999999972,0.8624222223848279
