round,selected_index,candidate_index,area,area_lower,area_upper,diameter,diameter_upper,min_intersection_angle,dop
1,0,0,137631.71557617188,136823.83154296875,138439.599609375,2799.84375,2800.311792245475,,inf
2,6,6,1238.0185546875,1217.96630859375,1258.07080078125,49.12222678240981,49.917715495728565,90.0,1.4142135623730951
3,9,9,1131.2215576171875,1112.069091796875,1150.3740234375,48.923354636678894,49.71844555217912,45.0,1.224744871391589
4,3,3,1024.6124267578125,1006.033447265625,1043.19140625,37.70953180646108,38.296502063667646,45.0,1.0
5,10,10,1014.339111328125,995.45361328125,1033.224609375,37.63341501619605,38.296502063667646,15.000000000000018,0.9128709291752768
6,14,14,1004.3426513671875,985.427490234375,1023.2578125,37.63341501619605,38.296502063667646,14.999999999999972,0.828078671210825
