experiment_id,experiment_type,method,repetition,number_points,intersection_angle,area,area_lower,area_upper,diameter,diameter_upper,cover_radius,cover_radius_lower,localization_error,centroid_error_bound,min_intersection_angle,dop,runtime,status,truth_feasible
layout_random_000_n4,layout,random,0,4,,458.92440032958984,455.10960388183594,462.73919677734375,36.487276132647644,36.6705135292649,18.335361612270656,18.244075862187305,12.289829246361474,0.6046193870024045,14.999999999999996,1.0327955589886444,0.0504561000270769,sampled,True
layout_uniform_000_n4,layout,uniform,0,4,,157.33733367919922,154.76344299316406,159.91122436523438,24.36635025312989,24.543997981463054,12.271998990731527,12.183175126564946,3.061735008417043,0.790107987144994,0.0,1.0,0.031352999969385564,sampled,True
layout_optimized_000_n4,layout,optimized,0,4,,395.8594436645508,391.79127502441406,399.9276123046875,34.829359153352264,35.09685607915081,17.54939984552209,17.41576993846259,10.018324280789859,0.7140288636025225,45.0,1.0,0.05438759992830455,sampled,True
layout_dop_baseline_000_n4,layout,dop_baseline,0,4,,785.8690795898438,780.8757934570312,790.8623657226562,37.955336172207886,38.117222727489356,20.228569286126437,20.122121223009277,14.978194850759945,0.4813231933032556,45.0,1.0,0.0767266999464482,sampled,True
layout_random_001_n4,layout,random,1,4,,532.8645858764648,527.6976470947266,538.0315246582031,45.70596445506405,45.97324621642223,22.986623108211116,22.852982227532024,7.871007176538371,0.8830001139763626,14.999999999999996,1.2482976007946422,0.06127729988656938,sampled,True
layout_uniform_001_n4,layout,uniform,1,4,,823.7191772460938,818.7975769042969,828.6407775878906,40.98395540733078,41.18878403371215,20.594392016856077,20.49197770366539,13.505854814109377,0.4892704753647349,0.0,1.0,0.06332719989586622,sampled,True
layout_optimized_001_n4,layout,optimized,1,4,,365.1074752807617,361.20863342285156,369.0063171386719,34.694000129986904,34.87478736074288,17.48335494801118,17.39179087181943,8.294286713158066,0.7369590949126362,45.0,1.0,0.053589100018143654,sampled,True
layout_dop_baseline_001_n4,layout,dop_baseline,1,4,,383.98741149902344,380.0261535644531,387.94866943359375,34.76318548322933,34.95917418737578,17.53078541711733,17.438964635459826,8.500643066895254,0.7139207686313376,45.0,1.0,0.053467600024305284,sampled,True
layout_random_002_n4,layout,random,2,4,,993.8375930786133,988.5087432861328,999.1664428710938,43.66723267477178,43.824772181247916,21.912386090623958,21.83361633738589,8.14415024992241,0.4674609116624948,14.999999999999996,1.0794245481595688,0.07480539998505265,sampled,True
layout_uniform_002_n4,layout,uniform,2,4,,1053.415901184082,1047.207046508789,1059.624755859375,46.46110926433274,46.659377119122915,23.329688559561458,23.23055463216637,7.512925406161058,0.5467997801492871,0.0,1.0,0.08257860003504902,sampled,True
layout_optimized_002_n4,layout,optimized,2,4,,725.1950912475586,720.3050079345703,730.0851745605469,37.28701110989946,37.489949825128136,19.86114788260628,19.765501805016306,4.356194547391664,0.5022125758271327,45.0,1.0,0.06395520002115518,sampled,True
layout_dop_baseline_002_n4,layout,dop_baseline,2,4,,648.9312973022461,644.2636871337891,653.5989074707031,37.6045356936677,37.79105554750398,19.503409877392965,19.396808919609082,1.9149745376674008,0.5397619645138736,45.0,1.0,0.05834410001989454,sampled,True
layout_random_003_n4,layout,random,3,4,,1536.3043670654297,1528.2446594238281,1544.3640747070312,87.77496921644158,88.04270592392223,44.021352961961114,43.88748460822079,21.75706211548307,0.918952313568842,0.0,1.8781416031760885,0.0979819999774918,sampled,True
layout_uniform_003_n4,layout,uniform,3,4,,917.5663833618164,911.7258453369141,923.4069213867188,43.34173944564095,43.50503195235904,21.75488247211656,21.67300853011133,16.204999018023454,0.5503376409844593,0.0,1.0,0.07531990006100386,sampled,True
layout_optimized_003_n4,layout,optimized,3,4,,87.29722595214844,85.28878784179688,89.3056640625,18.440986329549748,18.681040180006875,9.340520090003437,9.220493164774874,4.254810346028764,0.8402538278485155,45.0,1.0,0.030595700023695827,sampled,True
layout_dop_baseline_003_n4,layout,dop_baseline,3,4,,85.94755554199219,83.96136474609375,87.93374633789062,18.140079933671736,18.428046437639896,9.214295393837576,9.070226025938378,4.155671161827862,0.8324816750144017,45.0,1.0,0.024239899939857423,sampled,True
layout_random_004_n4,layout,random,4,4,,517.3062973022461,512.8389129638672,521.773681640625,39.53229255356961,39.73029573166781,19.8654108710316,19.766358384235645,8.642307836676526,0.6803351995552079,8.537736562175269e-07,1.1547005383792517,0.05475979996845126,sampled,True
layout_uniform_004_n4,layout,uniform,4,4,,643.2057037353516,638.1839904785156,648.2274169921875,36.13149279684574,36.31128389879524,18.15564194939762,18.06574639842287,11.716611509842641,0.5625953205540241,0.0,0.9999999999999999,0.0578092000214383,sampled,True
layout_optimized_004_n4,layout,optimized,4,4,,253.6156768798828,250.79644775390625,256.4349060058594,29.807275854187953,30.027306908150287,15.013653454075143,14.917954044627463,3.6103514969258583,0.6602366232322541,45.0,1.0,0.0462169999955222,sampled,True
layout_dop_baseline_004_n4,layout,dop_baseline,4,4,,590.1854095458984,586.2241516113281,594.1466674804688,37.46673329122283,37.652064731109036,19.22016011697637,19.127630086064013,10.73067306050812,0.5020630370663945,45.0,1.0,0.06414460006635636,sampled,True
layout_random_005_n4,layout,random,5,4,,503.9579086303711,498.6920928955078,509.2237243652344,51.63757850790601,51.85636254526325,25.928181272631626,25.818789253953003,17.130918824480506,1.072479685364262,15.0,1.2649110640673518,0.06546509999316186,sampled,True
layout_uniform_005_n4,layout,uniform,5,4,,207.15277862548828,203.4850616455078,210.82049560546875,30.900723880325604,31.11675695628583,15.558378478142915,15.450361940162802,5.654674006006841,1.0826979371500387,0.0,0.9999999999999999,0.05243819998577237,sampled,True
layout_optimized_005_n4,layout,optimized,5,4,,177.12879180908203,174.41770935058594,179.83987426757812,26.251527578320324,26.599786559661176,13.300269211350656,13.12614831321589,5.999261890535928,0.801982486201487,44.999999999999986,1.0,0.03841799998190254,sampled,True
layout_dop_baseline_005_n4,layout,dop_baseline,5,4,,954.6501846313477,949.8552703857422,959.4450988769531,38.241759366219384,38.408907048040305,20.504099722356663,20.421730808398635,15.058746460040105,0.3839040207268886,44.999999999999986,1.0,0.06452330003958195,sampled,True
layout_random_006_n4,layout,random,6,4,,333.16280364990234,329.6223907470703,336.7032165527344,32.236115061492946,32.48292914801798,16.24146457400899,16.118057530746473,6.320099853367256,0.6831118672096784,30.00000000000003,1.0084800728837513,0.044269699952565134,sampled,True
layout_uniform_006_n4,layout,uniform,6,4,,436.05230712890625,432.4779052734375,439.626708984375,30.310682230451206,30.4453125,15.223033826714754,15.155843739007778,8.14352416460784,0.4950735670347713,8.537736562175269e-07,1.0,0.05623450002167374,sampled,True
layout_optimized_006_n4,layout,optimized,6,4,,735.7940826416016,730.9355163574219,740.6526489257812,37.51875263540096,37.7156276216442,19.80565816683401,19.728625440132816,11.016051291755998,0.4948173128523004,45.0,1.0,0.07057729992084205,sampled,True
layout_dop_baseline_006_n4,layout,dop_baseline,6,4,,821.0587692260742,815.9956512451172,826.1218872070312,37.95510822641026,38.09464804237803,20.510134640234615,20.426326173430862,11.706026850952648,0.4669473124206367,45.0,1.0,0.0623209000332281,sampled,True
layout_random_007_n4,layout,random,7,4,,418.62462615966797,414.39207458496094,422.857177734375,34.44268416415365,34.59960887886325,18.0420954083987,17.96679023102365,10.574301316729693,0.6926434586217275,30.0,1.0171796054189606,0.0585840999847278,sampled,True
layout_uniform_007_n4,layout,uniform,7,4,,748.321174621582,745.0909881591797,751.5513610839844,39.100072555279546,39.24754063378725,19.623770316893626,19.550036277639773,14.187592102894381,0.33737381369382796,0.0,1.0,0.053056799923069775,sampled,True
layout_optimized_007_n4,layout,optimized,7,4,,408.9865951538086,405.72056579589844,412.25262451171875,35.44196400455257,35.638381532853735,17.879051927327495,17.78235725194197,11.016581673928385,0.5646828834264693,45.0,1.0,0.05609080009162426,sampled,True
layout_dop_baseline_007_n4,layout,dop_baseline,7,4,,393.7947692871094,390.5713806152344,397.0181579589844,35.02582447462091,35.230000767833694,17.648166521352856,17.547972158247877,10.951889193423929,0.5720644414299785,45.0,1.0,0.05456489999778569,sampled,True
layout_random_008_n4,layout,random,8,4,,680.391471862793,675.0440826416016,685.7388610839844,43.14925226688646,43.335151595091155,22.310776241737493,22.22912350622201,4.07648890477235,0.675854718724787,14.99999999999997,1.0690449676496976,0.07788709993474185,sampled,True
layout_uniform_008_n4,layout,uniform,8,4,,905.1684494018555,901.0026397705078,909.3342590332031,43.02740102271495,43.22320467484197,21.611602337420987,21.513700511357474,7.664518630391784,0.39602520314940226,0.0,1.0,0.060829399968497455,sampled,True
layout_optimized_008_n4,layout,optimized,8,4,,898.2958831787109,893.5411376953125,903.0506286621094,37.88092055171974,38.047119641153934,20.749469839960373,20.66916479348921,7.525129767093233,0.400651667865202,45.0,1.0,0.06494890002068132,sampled,True
layout_dop_baseline_008_n4,layout,dop_baseline,8,4,,704.8400344848633,700.4109649658203,709.2691040039062,37.59677819591581,37.76016927002289,19.751161319335445,19.660637054931808,5.168586400275813,0.4715908639010457,45.0,1.0,0.06592770002316684,sampled,True
layout_random_009_n4,layout,random,9,4,,938.0159912109375,930.6817932128906,945.3501892089844,79.44743135019867,79.80580258031543,39.902901290157715,39.723715675099335,29.161629588011817,1.2382957430977597,14.999999999999996,1.8250105601620008,0.08412739995401353,sampled,True
layout_uniform_009_n4,layout,uniform,9,4,,196.6699676513672,193.69747924804688,199.6424560546875,28.163864748785645,28.34021175889592,14.17010587944796,14.081932374392823,4.4768614048513005,0.8439181972183731,0.0,1.0,0.03334850003011525,sampled,True
layout_optimized_009_n4,layout,optimized,9,4,,324.0117416381836,320.2661590576172,327.75732421875,34.340044816198414,34.544839661889085,17.280727264250263,17.179814114611595,9.695770025298302,0.7895509276227439,45.0,1.0,0.04178910003975034,sampled,True
layout_dop_baseline_009_n4,layout,dop_baseline,9,4,,576.927864074707,572.4246368408203,581.4310913085938,37.166691345297885,37.350301791890686,19.086402946014385,19.014689659571243,12.301625276866334,0.5785617547371913,45.0,1.0,0.0520516000688076,sampled,True
