random_x,random_y,uniform_x,uniform_y,optimized_x,optimized_y,dop_baseline_x,dop_baseline_y
-19.88078839943327,3.8352631205282677,-14.537038399433271,14.311825620528268,-10.599538399433271,-17.750674379471732,-18.01750714943327,-8.153018129471732
-19.77531964943327,-1.4733306294717323,-14.501882149433271,14.206356870528268,-10.564382149433271,-17.785830629471732,-17.59563214943327,-8.856143129471732
-19.63469464943327,-1.6139556294717323,-14.326100899433271,13.889950620528268,-10.001882149433271,-17.926455629471732,-13.201100899433271,-16.133486879471732
-19.45891339943327,-1.7194243794717323,-13.869069649433271,13.081356870528268,-9.263600899433271,-18.102236879471732,-11.267507149433271,-19.332705629471732
-18.96672589943327,-2.0006743794717323,-10.142507149433271,6.542294370528268,-9.087819649433271,-18.137393129471732,-11.162038399433271,-19.438174379471732
-10.283132149433271,-6.887393129471732,-0.5448508994332713,-10.297549379471732,-9.017507149433271,-18.137393129471732,-10.318288399433271,-18.945986879471732
-0.47453839943327125,-12.406924379471732,0.5801491005667287,-12.266299379471732,-8.912038399433271,-18.102236879471732,-8.595632149433271,-17.926455629471732
7.400461600566729,-16.836611879471732,0.7207741005667287,-12.406924379471732,-8.595632149433271,-17.926455629471732,-3.2518821494332713,-14.762393129471732
7.541086600566729,-16.906924379471732,2.2676491005667287,-11.492861879471732,-3.2518821494332713,-14.762393129471732,9.334055350566729,-7.309268129471732
7.646555350566729,-16.942080629471732,3.9903053505667287,-10.473330629471732,9.334055350566729,-7.309268129471732,16.57624285056673,-3.0202056294717323
9.966867850566729,-13.074893129471732,9.334055350566729,-7.309268129471732,16.57624285056673,-3.0202056294717323,18.47468035056673,-1.8952056294717323
11.935617850566729,-9.770205629471732,16.57624285056673,-3.0202056294717323,18.47468035056673,-1.8952056294717323,18.50983660056673,-1.8600493794717323
11.935617850566729,-9.699893129471732,18.47468035056673,-1.8952056294717323,18.50983660056673,-1.8600493794717323,16.82233660056673,1.1633881205282677
11.759836600566729,-9.383486879471732,18.50983660056673,-1.8600493794717323,15.767649100566729,3.0618256205282677,16.33014910056673,1.3040131205282677
10.459055350566729,-7.098330629471732,15.767649100566729,3.0618256205282677,10.459055350566729,12.589169370528268,11.197336600566729,2.7102631205282677
6.732492850566729,-0.5592681294717323,7.716867850566729,17.511044370528268,10.283274100566729,12.764950620528268,-10.107350899433271,8.546200620528268
-2.8651633994332713,16.280575620528268,5.150461600566729,22.116513120528268,10.072336600566729,12.835263120528268,-12.814382149433271,9.284481870528268
-6.872975899433271,23.311825620528268,3.4629616005667287,25.139950620528268,7.611399100566729,13.538388120528268,-12.990163399433271,9.319638120528268
-7.997975899433271,25.280575620528268,3.4278053505667287,25.175106870528268,0.9317116005667287,15.436825620528268,-13.060475899433271,9.249325620528268
-8.208913399433271,25.632138120528268,3.3223366005667287,25.139950620528268,-0.9315696494332713,15.964169370528268,-13.130788399433271,9.038388120528268
-8.244069649433271,25.667294370528268,-0.22844464943327125,22.995419370528268,-1.3182883994332713,16.069638120528268,-13.412038399433271,8.054013120528268
-8.279225899433271,25.632138120528268,-14.080007149433271,14.628231870528268,-1.3886008994332713,15.999325620528268,-17.20891339943327,-5.305361879471732
-8.384694649433271,25.456356870528268,-14.466725899433271,14.382138120528268,-1.4237571494332713,15.893856870528268,,
-9.087819649433271,24.190731870528268,,,-10.177663399433271,-16.063174379471732,,
-10.212819649433271,22.151669370528268,,,-10.599538399433271,-17.610049379471732,,
-13.412038399433271,16.350888120528268,,,,,,
-19.63469464943327,5.065731870528268,,,,,,
-19.88078839943327,4.608700620528268,,,,,,
