repetition,random_area,dop_area,optimized_area
0,458.9244003295898,785.8690795898438,395.8594436645508
1,532.8645858764648,383.9874114990234,365.1074752807617
2,993.8375930786132,648.9312973022461,725.1950912475586
3,1536.3043670654297,85.94755554199219,87.29722595214844
4,517.3062973022461,590.1854095458984,253.6156768798828
5,503.9579086303711,954.6501846313477,177.12879180908203
6,333.16280364990234,821.0587692260742,735.7940826416016
7,418.624626159668,393.7947692871094,408.9865951538086
8,680.391471862793,704.8400344848633,898.2958831787109
9,938.0159912109376,576.927864074707,324.0117416381836
10,1209.284294128418,642.3127212524414,415.5137100219727
11,355.1598358154297,976.1868209838868,67.62503814697266
12,148.86852264404297,393.8435897827149,981.9340438842772
13,518.4748992919922,340.1904830932617,368.4013137817383
14,378.94901275634766,333.12139892578125,537.4462966918945
15,518.5002365112305,565.3302154541016,612.2151947021484
16,392.9401016235352,716.9796524047852,225.91962432861328
17,556.7205047607422,608.0048904418945,50.03791809082031
18,631.9269332885742,886.0135116577148,817.63330078125
19,1288.9247360229492,654.2823944091797,757.1088638305664
20,353.27870178222656,890.2819061279297,474.5914535522461
21,1053.2224731445312,50.48595428466797,52.7904052734375
22,784.8908157348633,884.8226623535156,545.9651641845703
23,1020.6808319091796,565.3178558349609,825.5613784790039
24,441.8174514770508,214.58585357666016,616.5132522583008
25,688.6520233154297,364.8837661743164,389.6851959228516
26,852.6066970825195,652.4068222045898,715.6596450805664
27,63.43018341064453,520.1792907714844,507.3493881225586
28,654.6086883544922,575.207405090332,515.4900512695312
29,329.48087310791016,455.4185943603516,37.857513427734375
